source_branch,merge_decision,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/j,,,rw/unit/spatial/UnitSearchCallback,rustedwarfare/unit/spatial/UnitSearchCallback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/aj,F,a,field_aj_searchX,searchX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/aj,F,b,field_aj_searchY,searchY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/aj,Lcom/corrodinggames/rts/game/units/ai;,c,field_aj_foundFireUnit,foundFireUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/gameFramework/utility/u;,bE,field_am_allUnits,allUnits,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,Global live unit list scanned by UnitSpatialIndex.refreshAllUnits
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/am,I,dl,field_am_spatialCellX,spatialCellX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/am,I,dm,field_am_spatialCellY,spatialCellY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/am,I,dn,field_am_spatialTeamBucketId,spatialTeamBucketId,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/a,Lcom/corrodinggames/rts/game/units/f/b;,a,field_a_allUnitsBucket,allUnitsBucket,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,Cell-wide bucket used by all-team scans
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/a,[Lcom/corrodinggames/rts/game/units/f/b;,b,field_a_teamBuckets,teamBuckets,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,Indexed by non-negative Team.k
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/a,Lcom/corrodinggames/rts/game/units/f/b;,c,field_a_teamIdMinusTwoBucket,teamIdMinusTwoBucket,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,Special bucket for Team id -2/null-team path
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/a,Lcom/corrodinggames/rts/game/units/f/b;,d,field_a_teamIdMinusOneBucket,teamIdMinusOneBucket,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,Special bucket for Team id -1 path
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/a,F,e,field_a_maxUnitRadius,maxUnitRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,Updated from Unit.cj while adding units to the cell
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/b,[Lcom/corrodinggames/rts/game/units/am;,a,field_b_EMPTY_UNIT_ARRAY,EMPTY_UNIT_ARRAY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/b,I,b,field_b_size,size,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/b,[Lcom/corrodinggames/rts/game/units/am;,c,field_b_units,units,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,I,a,field_c_cellWorldWidth,cellWorldWidth,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,map pixel width divided by 32
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,I,b,field_c_cellWorldHeight,cellWorldHeight,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,map pixel height divided by 32
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,F,c,field_c_worldToCellXScale,worldToCellXScale,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,F,d,field_c_worldToCellYScale,worldToCellYScale,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,[[Lcom/corrodinggames/rts/game/units/f/a;,e,field_c_cells,cells,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Lcom/corrodinggames/rts/game/units/f/d;,f,field_c_circleFilter,circleFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Lcom/corrodinggames/rts/game/units/f/g;,g,field_c_rectFilter,rectFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Lcom/corrodinggames/rts/game/units/f/h;,h,field_c_rectWithUnitRadiusFilter,rectWithUnitRadiusFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Lcom/corrodinggames/rts/gameFramework/utility/u;,i,field_c_scratchUnitList,scratchUnitList,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Lcom/corrodinggames/rts/game/units/f/f;,j,field_c_scratchResultIterator,scratchResultIterator,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,Landroid/graphics/Rect;,k,field_c_scratchCellRect,scratchCellRect,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,low-medium,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,I,l,field_c_GRID_SIZE,GRID_SIZE,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap getfield/putfield evidence,Constant 32
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/c,I,m,field_c_highestTeamIdSeen,highestTeamIdSeen,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,Landroid/graphics/RectF;,a,field_d_bounds,bounds,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,b,field_d_minX,minX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,c,field_d_maxX,maxX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,d,field_d_minY,minY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,e,field_d_maxY,maxY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,f,field_d_centerX,centerX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,g,field_d_centerY,centerY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/d,F,h,field_d_radiusSquared,radiusSquared,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/f,I,a,field_f_remainingCount,remainingCount,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/f,[Lcom/corrodinggames/rts/game/units/am;,b,field_f_units,units,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/g,Landroid/graphics/RectF;,a,field_g_bounds,bounds,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/g,F,b,field_g_minX,minX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/g,F,c,field_g_maxX,maxX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/g,F,d,field_g_minY,minY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/g,F,e,field_g_maxY,maxY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/h,Landroid/graphics/RectF;,a,field_h_bounds,bounds,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/h,F,b,field_h_minX,minX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/h,F,c,field_h_maxX,maxX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/h,F,d,field_h_minY,minY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/game/units/f/h,F,e,field_h_maxY,maxY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,field,com/corrodinggames/rts/gameFramework/l,Lcom/corrodinggames/rts/game/units/f/c;,cc,field_l_unitSpatialIndex,unitSpatialIndex,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap getfield/putfield evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,()V,<init>,method_aj_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,(FF)V,a,method_aj_setSearchPoint,setSearchPoint,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback,method_aj_callback,callback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,(Lcom/corrodinggames/rts/game/units/y;)I,excludeTeam,method_aj_excludeTeam,excludeTeam,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyEnemiesOfTeam,method_aj_onlyEnemiesOfTeam,onlyEnemiesOfTeam,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/aj,(Lcom/corrodinggames/rts/game/units/y;F)V,setup,method_aj_setup,setup,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/a,()V,<init>,method_a_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/a,(Lcom/corrodinggames/rts/game/units/am;)V,a,method_a_addUnit,addUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/a,(Lcom/corrodinggames/rts/game/units/am;)V,b,method_a_removeUnit,removeUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/b,()V,<init>,method_b_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/b,()[Lcom/corrodinggames/rts/game/units/am;,a,method_b_getRawArray,getRawArray,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/b,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_b_addUnit,addUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/b,(Lcom/corrodinggames/rts/game/units/am;)Z,b,method_b_removeUnit,removeUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,()V,<init>,method_c_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,()V,a,method_c_refreshAllUnits,refreshAllUnits,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(F)I,a,method_c_worldToCellX,worldToCellX,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(FFF)Lcom/corrodinggames/rts/game/units/f/f;,a,method_c_getUnitsInRadius,getUnitsInRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,Uses exact center/radius bounds without expanding by unit collision radius
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(FFFLcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/f/i;)V,a,method_c_forEachUnitInRadius,forEachUnitInRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(FFFLcom/corrodinggames/rts/gameFramework/utility/u;)V,a,method_c_collectUnitsInRadius,collectUnitsInRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(Landroid/graphics/RectF;Lcom/corrodinggames/rts/game/units/f/e;Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/f/i;)V,a,method_c_forEachUnitInRect,forEachUnitInRect,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(Lcom/corrodinggames/rts/game/b/b;)V,a,method_c_initializeForMap,initializeForMap,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(Lcom/corrodinggames/rts/game/n;FFFLcom/corrodinggames/rts/gameFramework/utility/u;)V,a,method_c_collectTeamUnitsInRadiusIncludingCollisionRadius,collectTeamUnitsInRadiusIncludingCollisionRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(Lcom/corrodinggames/rts/game/units/am;)V,a,method_c_updateUnitSpatialIndex,updateUnitSpatialIndex,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,()V,b,method_c_clearIndex,clearIndex,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(F)I,b,method_c_worldToCellY,worldToCellY,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(FFF)Lcom/corrodinggames/rts/game/units/f/f;,b,method_c_getUnitsInRadiusIncludingCollisionRadius,getUnitsInRadiusIncludingCollisionRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(FFFLcom/corrodinggames/rts/gameFramework/utility/u;)V,b,method_c_collectUnitsInRadiusIncludingCollisionRadius,collectUnitsInRadiusIncludingCollisionRadius,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/c,(F)V,c,method_c_update,update,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,low-medium,javap bytecode evidence,No-op in this build
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/d,()V,<init>,method_d_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/d,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_d_matchesUnit,matchesUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/e,()V,<init>,method_e_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/e,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_e_matchesUnit,matchesUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()V,<init>,method_f_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()Lcom/corrodinggames/rts/game/units/am;,a,method_f_nextUnit,nextUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,(Lcom/corrodinggames/rts/gameFramework/utility/u;)V,a,method_f_resetFromUnitList,resetFromUnitList,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()Z,hasNext,method_f_hasNext,hasNext,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()Ljava/util/Iterator;,iterator,method_f_iterator,iterator,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()Ljava/lang/Object;,next,method_f_next,next,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/f,()V,remove,method_f_remove,remove,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/g,()V,<init>,method_g_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/g,(FFFF)V,a,method_g_setBounds,setBounds,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/g,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_g_matchesUnit,matchesUnit,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap bytecode evidence,
spatial-index-v0.45,added,method,com/corrodinggames/rts/game/units/f/h,()V,<init>,method_h_init,<init>,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,confirmed,javap bytecode evidence,
