owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/a/g,method,A,()Z,usesActionTargetPoint,usesActionTargetPoint,true,UnitSpecificActionProxy delegates A() to the wrapped action; must keep the UnitAction override-family name.
com/corrodinggames/rts/game/units/a/s,method,A,()Z,usesActionTargetPoint,usesActionTargetPoint,true,Base UnitAction returns false; AI and HUD callsites branch on this before issuing an action-id command with a PointF target.
com/corrodinggames/rts/game/units/custom/a/g,method,A,()Z,usesActionTargetPoint,usesActionTargetPoint,true,"CustomAction returns true; AI and InterfaceEngine issue command.a(actionId, PointF, null) instead of build/unit placement when this flag is set."
com/corrodinggames/rts/game/units/custom/aj,method,b,()Ljava/lang/String;,resolveStaticText,resolveStaticText,true,"Checks cachedLocaleVersion, refreshes if needed, and returns cachedText without requiring a unit context."
com/corrodinggames/rts/game/units/custom/aj,method,a,()V,refreshTextAndDynamicResolvers,refreshTextAndDynamicResolvers,true,No-arg refresh delegates to the boolean overload with strict parsing enabled.
com/corrodinggames/rts/game/units/custom/aj,method,c,()V,refreshLocalizedText,refreshLocalizedText,true,"Uses translationKey when present; otherwise selects the locale entry, falls back to default text, or writes '<NO DEFAULT TEXT FOUND>'."
com/corrodinggames/rts/game/units/custom/aj,method,a,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,resolveDynamicTextForUnit,resolveDynamicTextForUnit,true,"Requires an OrderableUnit, iterates dynamicTextResolvers, calls each resolver with the unit, and concatenates the pieces."
com/corrodinggames/rts/game/units/custom/aj,method,b,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,resolveForUnit,resolveForUnit,true,"Checks cachedLocaleVersion, refreshes if needed, and either resolves dynamicTextResolvers against the supplied unit or returns cachedText."
com/corrodinggames/rts/game/units/custom/aj,method,a,(Lcom/corrodinggames/rts/game/units/custom/bb;)Lcom/corrodinggames/rts/game/units/custom/aj;,fromData,fromData,true,"Static factory copies LocalizedStringData.entries and translationKey, assigns default metadata, refreshes localized text, and returns null for null input."
com/corrodinggames/rts/game/units/custom/aj,method,a,(Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/aj;,fromLiteral,fromLiteral,true,"Static factory builds a LocalizedString with one default LocalizedStringEntry(locale=null,text=input), then refreshes it."
com/corrodinggames/rts/game/units/custom/aj,method,a,(Ljava/lang/String;Z)[Lcom/corrodinggames/rts/game/units/custom/ak;,parseDynamicTextResolvers,parseDynamicTextResolvers,true,Splits a text template into StaticTextResolver and LogicBooleanTextResolver pieces around '%{...}' segments.
com/corrodinggames/rts/game/units/custom/aj,method,a,(Z)V,refreshTextAndDynamicResolvers,refreshTextAndDynamicResolvers,true,"Refreshes localized text, then builds dynamicTextResolvers if cachedText contains '%{...}'. The boolean controls parse-error behavior."
com/corrodinggames/rts/game/units/custom/as,method,a,(I)Lcom/corrodinggames/rts/game/units/custom/at;,getMutableStatAccessorById,getMutableStatAccessorById,true,Looks through mutableStatFieldsByName values and returns the accessor whose id matches the serialized field id.
com/corrodinggames/rts/game/units/custom/as,method,a,(Lcom/corrodinggames/rts/game/units/custom/as;Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/gameFramework/j/as;)V,writeRuntimeStatDelta,writeRuntimeStatDelta,true,"Writes whether runtime stats differ from metadata defaults, then serializes changed accessor ids/new values/default values."
com/corrodinggames/rts/game/units/custom/as,method,a,(Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/gameFramework/j/k;I)V,readRuntimeStatDelta,readRuntimeStatDelta,true,"Reads runtime stat delta entries, resolves accessor ids with getMutableStatAccessorById, marks unit stats dirty, and writes values back."
com/corrodinggames/rts/game/units/custom/as,method,a,(Lcom/corrodinggames/rts/gameFramework/utility/ab;Ljava/lang/String;Ljava/lang/String;[Lcom/corrodinggames/rts/game/units/custom/at;)[Lcom/corrodinggames/rts/game/units/custom/at;,parseMutableStatAccessorListFromConfig,parseMutableStatAccessorListFromConfig,true,Reads a comma-separated config value and wraps parseMutableStatAccessorList exceptions with '[section]key:' context.
com/corrodinggames/rts/game/units/custom/as,method,a,(Ljava/lang/String;[Lcom/corrodinggames/rts/game/units/custom/at;)[Lcom/corrodinggames/rts/game/units/custom/at;,parseMutableStatAccessorList,parseMutableStatAccessorList,true,"Parses comma-separated mutable stat field names, validates them against the mutable-stat registry, and returns the resolved accessor array."
com/corrodinggames/rts/game/units/custom/as,method,a,(Ljava/util/LinkedHashMap;Lcom/corrodinggames/rts/game/units/custom/at;)V,registerMutableStatAccessor,registerMutableStatAccessor,true,Static initializer registers each MutableStatAccessor by name in the supplied LinkedHashMap through this helper.
com/corrodinggames/rts/game/units/custom/j,method,cm,()Lcom/corrodinggames/rts/game/units/a/c;,getFirstUpgradeActionId,getFirstUpgradeActionId,true,"Returns the action id of the first upgrade action from getUpgradeActions, or null when there is no upgrade action."
com/corrodinggames/rts/game/units/custom/j,method,N,()Ljava/util/ArrayList;,getActionsForCurrentMetadata,getActionsForCurrentMetadata,true,"Returns action list from revertMetadata when active, otherwise from unitMetadata, using the unit current tech level."
com/corrodinggames/rts/game/units/custom/j,method,dC,()Ljava/util/ArrayList;,getUpgradeActions,getUpgradeActions,true,Filters current metadata actions into upgradeActionScratchList where CustomAction.aiUse == upgrade.
com/corrodinggames/rts/game/units/custom/j,method,a,(Lcom/corrodinggames/rts/game/units/a/c;)Lcom/corrodinggames/rts/game/units/a/s;,findActionById,findActionById,true,"Finds a UnitAction by ActionId from revertMetadata when active, otherwise from unitMetadata.getActionById."
com/corrodinggames/rts/game/units/custom/j,method,a,(Lcom/corrodinggames/rts/game/units/a/s;FF)Z,checkTargetedActionOrder,checkTargetedActionOrder,true,"CustomUnit override logs ""checkTargetedActionOrder:"" and validates fireTurretXAtGround, range, and passability requirements for point-target custom actions."
com/corrodinggames/rts/game/units/custom/j,method,a,(Lcom/corrodinggames/rts/game/units/a/s;ZFF)V,onTargetedActionQueued,onTargetedActionQueued,true,"CustomUnit override handles playSoundToPlayerOnQueue, spawnEffectsOnQueue, and fireTurretXAtGroundShowGuideDecals after a targeted action is queued."
com/corrodinggames/rts/game/units/custom/j,method,e,(Lcom/corrodinggames/rts/game/units/as;)Lcom/corrodinggames/rts/game/units/a/s;,findBuildQueueActionForUnitType,findBuildQueueActionForUnitType,true,Delegates to buildQueue to find the queued build action for a requested UnitType.
com/corrodinggames/rts/game/units/custom/j,method,a,(Ljava/util/ArrayList;)V,collectSecondaryUpgradeActionIds,collectSecondaryUpgradeActionIds,true,Collects upgrade action ids after the first upgrade into the supplied ArrayList.
com/corrodinggames/rts/game/units/y,method,a,(Lcom/corrodinggames/rts/game/units/a/s;FF)Z,checkTargetedActionOrder,checkTargetedActionOrder,true,OrderableUnit default accepts targeted action orders; CustomUnit override validates turret/range/passability before queueing.
com/corrodinggames/rts/game/units/y,method,a,(Lcom/corrodinggames/rts/game/units/a/s;ZFF)V,onTargetedActionQueued,onTargetedActionQueued,true,OrderableUnit default is a no-op hook; CustomUnit override plays queue sound/effects and guide decals for point-target custom actions.
