owner_official,official_name,descriptor,named_name,confidence,notes
com/corrodinggames/rts/game/units/e/f,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/g,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/i,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/k,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/l,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/m,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/n,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/o,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/g,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h/a,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h/b,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h/c,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h/d,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/h/e,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/x,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/y,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/custom/j,b,(Lcom/corrodinggames/rts/game/units/am;I)V,triggerTurretWarmupStartEffect,high,Called when warmup progress starts from zero; CustomUnit implementation plays TurretTemplate.warmupStartEffect.
com/corrodinggames/rts/game/units/y,b,(Lcom/corrodinggames/rts/game/units/am;I)V,triggerTurretWarmupStartEffect,high,Called when warmup progress starts from zero; CustomUnit implementation plays TurretTemplate.warmupStartEffect.
com/corrodinggames/rts/game/units/custom/j,a,(Lcom/corrodinggames/rts/game/units/am;FI)V,spawnAttackerMuzzleDustEffect,medium-high,Existing y mapping propagated to CustomUnit override; periodic attacker/muzzle-side firing visual hook.
com/corrodinggames/rts/game/units/y,a,(Lcom/corrodinggames/rts/game/units/am;FI)V,spawnAttackerMuzzleDustEffect,medium-high,Existing y mapping propagated to CustomUnit override; periodic attacker/muzzle-side firing visual hook.
com/corrodinggames/rts/game/units/custom/j,b,(Lcom/corrodinggames/rts/game/units/am;FI)V,spawnTargetImpactDustEffect,medium-high,Existing y mapping propagated to CustomUnit override; periodic target-side firing visual hook.
com/corrodinggames/rts/game/units/y,b,(Lcom/corrodinggames/rts/game/units/am;FI)V,spawnTargetImpactDustEffect,medium-high,Existing y mapping propagated to CustomUnit override; periodic target-side firing visual hook.
com/corrodinggames/rts/game/units/b/a,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/b/c,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/b/d,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/b/e,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/b/f,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/c/a,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/custom/j,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/a/a,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/a/b,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/e,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/g,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/i,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/d/r,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/a,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/b,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/c,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/d,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/e,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/f,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/g,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/i,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/k,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/l,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/m,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/n,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/e/o,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/g,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h/a,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h/b,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h/c,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h/d,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/h/e,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/x,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/y,b,(I)F,getTurretFireDelay,high,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.
com/corrodinggames/rts/game/units/b/c,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/custom/j,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/d/a/a,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/e/b,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/e/c,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/e/d,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/e/k,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/e/l,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/g,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/h,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/h/a,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/h/b,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/h/e,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/x,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/y,e,(I)F,getTurretWarmupTime,high,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.
com/corrodinggames/rts/game/units/custom/j,s,(I)Z,isTurretWarmupNoReset,high,Returns warmupNoReset flag; used by tryFireTurretAtTarget to accumulate warmup independently from reload.
com/corrodinggames/rts/game/units/y,s,(I)Z,isTurretWarmupNoReset,high,Returns warmupNoReset flag; used by tryFireTurretAtTarget to accumulate warmup independently from reload.
com/corrodinggames/rts/game/units/custom/j,t,(I)F,getTurretWarmupShootDelayTransfer,high,Returns warmupShootDelayTransfer-derived reload adjustment after warmup completes.
com/corrodinggames/rts/game/units/y,t,(I)F,getTurretWarmupShootDelayTransfer,high,Returns warmupShootDelayTransfer-derived reload adjustment after warmup completes.
com/corrodinggames/rts/game/units/custom/j,r,(I)Z,canTurretFire,high,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.
com/corrodinggames/rts/game/units/d/a/a,r,(I)Z,canTurretFire,high,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.
com/corrodinggames/rts/game/units/y,r,(I)Z,canTurretFire,high,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.
com/corrodinggames/rts/game/units/custom/j,v,(I)I,getLinkedDelayTurretIndex,high,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.
com/corrodinggames/rts/game/units/d/a/a,v,(I)I,getLinkedDelayTurretIndex,high,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.
com/corrodinggames/rts/game/units/y,v,(I)I,getLinkedDelayTurretIndex,high,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.
com/corrodinggames/rts/game/units/b/c,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/b/e,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/custom/j,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/d/a/b,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/d/e,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/e/c,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/e/e,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/e/f,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/e/g,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/e/k,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/h/a,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/h/c,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/h/d,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/h/e,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/y,q,(I)F,getTurretProjectileDirectDamage,high,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.
com/corrodinggames/rts/game/units/b/a,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/b/d,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/b/e,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/b/f,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/c/a,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/custom/j,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/d/a/a,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/d/a/b,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/d/c,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/d/p,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/d/q,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/a,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/b,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/c,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/d,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/e,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/f,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/g,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/k,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/l,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/m,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/n,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/e/o,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/g,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/h,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/h/a,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/h/b,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/x,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
com/corrodinggames/rts/game/units/y,g,(I)F,getTurretBarrelForwardOffset,high,Returns forward barrel/muzzle offset; CustomUnit returns TurretTemplate.barrelY.
