owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/l,field,bC,Lcom/corrodinggames/rts/game/units/custom/bp;,unitsSpawnedOnDeath,unitsSpawnedOnDeath,True,CustomUnitLoader parses core.unitsSpawnedOnDeath with UnitList/UnitSpawnParser and assigns l.bC
com/corrodinggames/rts/game/units/custom/l,field,bL,Z,hasMovementEffect,hasMovementEffect,True,Set when dust/splash movement effects or movementEffect/movementEffectReverse refs are enabled
com/corrodinggames/rts/game/units/custom/l,field,bS,Z,hasRepairEffect,hasRepairEffect,True,Set when repairEffect or repairEffectAtTarget resolves to a non-empty effect reference
com/corrodinggames/rts/game/units/custom/l,field,bW,Z,hasReclaimEffect,hasReclaimEffect,True,Set when reclaimEffect or reclaimEffectAtTarget resolves to a non-empty effect reference
com/corrodinggames/rts/game/units/custom/l,field,fh,Lcom/corrodinggames/rts/game/units/ao;,pathingMovementType,pathingMovementType,True,"Copied from movementType for normal units; forced to NONE for buildings, giving the movement type used by pathing/movement code"
com/corrodinggames/rts/game/units/custom/l,field,fq,Z,useAsBuilder,useAsBuilder,True,AI/core compatibility path maps useAsBuilder/isBuilder into l.fq after builder validation
com/corrodinggames/rts/game/units/custom/l,field,ft,Z,useAsTransport,useAsTransport,True,Read from ai.useAsTransport or inferred from transport slots when not a builder/building and transport actions are enabled
com/corrodinggames/rts/game/units/custom/l,field,dN,F,moveAccelerationSpeed,moveAccelerationSpeed,True,"Movement parser reads moveAccelerationSpeed, scales by radius/scale factor, and stores in l.dN"
com/corrodinggames/rts/game/units/custom/l,field,dO,F,moveDecelerationSpeed,moveDecelerationSpeed,True,"Movement parser reads moveDecelerationSpeed, scales by radius/scale factor, and stores in l.dO"
com/corrodinggames/rts/game/units/custom/l,field,dP,Z,ignoreMoveOrders,ignoreMoveOrders,True,Set from movement.ignoreMoveOrders and defaulted true for buildings; parser enforces moveSpeed=0 when true
com/corrodinggames/rts/game/units/custom/l,field,ek,F,inverseMoveYAxisScaling,inverseMoveYAxisScaling,True,Assigned 1.0f / moveYAxisScaling after validation that moveYAxisScaling is positive
com/corrodinggames/rts/game/units/custom/l,field,dQ,Z,landOnGround,landOnGround,True,Parsed from movement.landOnGround accepting false/true/onlyIdle
com/corrodinggames/rts/game/units/custom/l,field,dR,Z,landOnGroundOnlyIdle,landOnGroundOnlyIdle,True,Set only for movement.landOnGround=onlyIdle
com/corrodinggames/rts/game/units/custom/l,field,ea,F,turretSize,turretSize,True,"Attack parser reads attack.turretSize, scales it by the unit scale, and stores it in l.ea"
com/corrodinggames/rts/game/units/custom/l,field,ec,Lcom/corrodinggames/rts/game/units/b;,attackMovement,attackMovement,True,Parsed from attack.attackMovement values normal/strafing/bomber into attack movement enum field ec
com/corrodinggames/rts/game/units/custom/l,field,dG,I,mainTurretIndex,mainTurretIndex,True,"After resolving setMainTurretAs or default turret 1, loader stores main turret template index in l.dG"
com/corrodinggames/rts/game/units/custom/l,field,eq,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackFlyingUnits,canAttackFlyingUnits,True,"Parsed from attack.canAttackFlyingUnits, with default false when canAttack is absent"
com/corrodinggames/rts/game/units/custom/l,field,er,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackLandUnits,canAttackLandUnits,True,"Parsed from attack.canAttackLandUnits, with default false when canAttack is absent"
com/corrodinggames/rts/game/units/custom/l,field,es,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackUnderwaterUnits,canAttackUnderwaterUnits,True,"Parsed from attack.canAttackUnderwaterUnits, with default false when canAttack is absent"
com/corrodinggames/rts/game/units/custom/l,field,et,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackNotTouchingWaterUnits,canAttackNotTouchingWaterUnits,True,Parsed from attack.canAttackNotTouchingWaterUnits; static true is normalized to null
com/corrodinggames/rts/game/units/custom/l,field,ev,Lcom/corrodinggames/rts/game/units/custom/h;,canOnlyAttackUnitsWithTags,canOnlyAttackUnitsWithTags,True,Parsed from attack.canOnlyAttackUnitsWithTags and propagated into turret tag filter cleanup
com/corrodinggames/rts/game/units/custom/l,field,ew,Lcom/corrodinggames/rts/game/units/custom/h;,canOnlyAttackUnitsWithoutTags,canOnlyAttackUnitsWithoutTags,True,Parsed from attack.canOnlyAttackUnitsWithoutTags and propagated into turret tag filter cleanup
com/corrodinggames/rts/game/units/custom/l,field,eu,Z,hasAttackTagFilters,hasAttackTagFilters,True,"Set when unit-level canOnlyAttackUnitsWithTags or canOnlyAttackUnitsWithoutTags is present, and also when all direct-damage turrets require tag filters"
com/corrodinggames/rts/game/units/custom/l,field,fv,Lcom/corrodinggames/rts/game/units/custom/h;,aiTags,aiTags,True,Read from ai.aiTags after passive-targeting priority flags
com/corrodinggames/rts/game/units/custom/l,field,fH,Lcom/corrodinggames/rts/game/units/custom/h;,onlyUseAsHarvesterIfBaseHasUnitTagged,onlyUseAsHarvesterIfBaseHasUnitTagged,True,Read from ai.onlyUseAsHarvester_ifBaseHasUnitTagged in harvester recommendation block
com/corrodinggames/rts/game/units/custom/l,field,fJ,Z,hasAiHighPriorityLogic,hasAiHighPriorityLogic,True,Set when any custom action has ai_isHighPriority LogicBoolean configured
com/corrodinggames/rts/game/units/custom/l,method,C,()Z,isAvailableInDemo,isAvailableInDemo,True,Getter returns l.ce availableInDemo
com/corrodinggames/rts/game/units/custom/l,method,w,()Z,isLocked,isLocked,True,"Getter returns locked state, with no-nuke multiplayer mode applying isLockedIfGameModeNoNuke override"
com/corrodinggames/rts/game/units/custom/l,method,j,()Z,isBuilding,isBuilding,True,Getter returns l.aH isBuilding
com/corrodinggames/rts/game/units/custom/l,method,k,()Z,isIgnoredInUnitCapCalculation,isIgnoredInUnitCapCalculation,True,Getter returns l.aI ignoreInUnitCapCalculation
com/corrodinggames/rts/game/units/custom/l,method,l,()Z,isBuilder,isBuilder,True,Getter returns l.fp isBuilder
com/corrodinggames/rts/game/units/custom/l,method,m,()Z,useAsBuilder,useAsBuilder,True,Getter returns l.fq useAsBuilder
com/corrodinggames/rts/game/units/custom/l,method,n,()Z,useAsHarvester,useAsHarvester,True,Getter returns l.fr useAsHarvester
com/corrodinggames/rts/game/units/custom/l,method,p,()Z,isPlaceOnlyOnResourcePool,isPlaceOnlyOnResourcePool,True,Getter returns l.aJ placeOnlyOnResPool
com/corrodinggames/rts/game/units/custom/l,method,d,()Lcom/corrodinggames/rts/game/units/a/z;,getDefaultAction,getDefaultAction,True,Getter returns l.go defaultAction
com/corrodinggames/rts/game/units/custom/l,method,a,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/v;,createUnitTypeReference,createUnitTypeReference,True,"Creates UnitTypeReference, stores section/key/value context, appends it to metadata reference list p, and returns it"
com/corrodinggames/rts/game/units/custom/l,method,c,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/u;,createActionReferenceList,createActionReferenceList,True,"Creates ActionReferenceList from comma-separated action ids, stores section/key context, appends to gp action reference list"
com/corrodinggames/rts/game/units/custom/l,method,a,(Lcom/corrodinggames/rts/game/units/as;)Lcom/corrodinggames/rts/game/units/custom/v;,createResolvedUnitTypeReference,createResolvedUnitTypeReference,True,Static helper wraps a known UnitType in a resolved UnitTypeReference with kind 'known' and resolved flag set
com/corrodinggames/rts/game/units/custom/l,method,s,()Ljava/util/ArrayList;,getCustomUnitTypeIds,getCustomUnitTypeIds,True,Static helper returns generated pick ids starting at 100 for every registered custom unit type
com/corrodinggames/rts/game/units/custom/l,method,x,()Lcom/corrodinggames/rts/game/units/custom/h;,getTags,getTags,True,Getter returns l.O tags
com/corrodinggames/rts/game/units/custom/l,method,y,()Z,usesCreditResources,usesCreditResources,True,Getter returns l.gr usesCreditResources
com/corrodinggames/rts/game/units/custom/ag,method,a,(Lcom/corrodinggames/rts/game/units/as;Lcom/corrodinggames/rts/game/units/custom/l;Z)V,replaceLiveCustomUnitsOfType,replaceLiveCustomUnitsOfType,True,"Iterates all live Unit instances; when a CustomUnit has old metadata x/z, swaps it to the new CustomUnitMetadata and refreshes team/state/connection metadata"
com/corrodinggames/rts/game/units/custom/ag,method,b,(Lcom/corrodinggames/rts/game/units/custom/l;)V,computeLegNeighborIndexCache,computeLegNeighborIndexCache,True,Loops over LegOrArmTemplate array ax and fills ba.S with nearby leg/arm indexes for neighbour-based animation/render logic
com/corrodinggames/rts/game/units/custom/l,field,co,Lcom/corrodinggames/rts/game/units/custom/d/b;,generationResources,generationResources,True,CustomUnitLoader reads generation_resources into l.co and merges generation_credits into the same ResourceAmount; runtime addToUnitAndRecordIncome uses l.co each generation_delay tick
