owner_official,official_name,descriptor,expected_named_name,provider_owner,mapped_after
com/corrodinggames/rts/game/units/a/f,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,m_,()F,getSortOrder,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/a/s;)I,compareToAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,d,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,getTextForUnit,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,e,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,getDescriptionForUnit,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/am;Z)Z,isActiveAndQueueAllowed,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,g,(Lcom/corrodinggames/rts/game/units/am;)Z,isLocked,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,u,()Z,isQueuedAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,d,()Ljava/lang/String;,getDisplayTextWithCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/gameFramework/f/ae;Landroid/graphics/Paint;Landroid/graphics/Paint;)V,appendPriceAndTextToTooltip,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/gameFramework/f/ae;)V,appendDescriptionToTooltip,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,j,()Lcom/corrodinggames/rts/gameFramework/m/e;,getIconImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,h,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/gameFramework/m/e;,getIconExtraImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,v,()Landroid/graphics/Rect;,getIconImageSrcRect,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,i,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/am;,getUnitShownInUI,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,y,()Lcom/corrodinggames/rts/game/units/as;,getGuiBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,z,()Lcom/corrodinggames/rts/game/units/a/c;,getActionIdForSerialization,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/game/n;)Z,isAlsoViewableByTeam,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,a,(Lcom/corrodinggames/rts/game/units/am;)Z,isGuiBlinking,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,B,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getPrice,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,j,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,getLockMessage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,d,(Lcom/corrodinggames/rts/game/units/am;Z)Z,canPlayerCancel,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,k,(Lcom/corrodinggames/rts/game/units/am;)Z,isAlwaysSinglePress,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,l,(Lcom/corrodinggames/rts/game/units/am;)Z,isSecondarySinglePress,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,E,()Lcom/corrodinggames/rts/game/units/as;,getAiConsiderSameAsBuildingUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,m,(Lcom/corrodinggames/rts/game/units/am;)Z,isAiDisabled,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,n,(Lcom/corrodinggames/rts/game/units/am;)Z,isAiHighPriority,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,H,()Z,isHighPriorityQueue,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,I,()Z,isOnlyOneUnitAtATime,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,p,(Lcom/corrodinggames/rts/game/units/am;)F,getProgress,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,r,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisibleWithExtraCheck,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,b,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisible,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,J,()I,getIconExtraColor,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,s,(Lcom/corrodinggames/rts/game/units/am;)Z,isUnitShownInUIWithHpBar,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/g,t,(Lcom/corrodinggames/rts/game/units/am;)Z,isUnitShownInUIWithProgressBar,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,m_,()F,getSortOrder,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,(Lcom/corrodinggames/rts/game/units/a/s;)I,compareToAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,d,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,getTextForUnit,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,e,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,getDescriptionForUnit,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,(Lcom/corrodinggames/rts/game/units/am;Z)Z,isActiveAndQueueAllowed,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,g,(Lcom/corrodinggames/rts/game/units/am;)Z,isLocked,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,b,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisible,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,u,()Z,isQueuedAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,d,()Ljava/lang/String;,getDisplayTextWithCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/gameFramework/f/ae;Landroid/graphics/Paint;Landroid/graphics/Paint;)V,appendPriceAndTextToTooltip,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/gameFramework/f/ae;)V,appendDescriptionToTooltip,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,j,()Lcom/corrodinggames/rts/gameFramework/m/e;,getIconImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,h,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/gameFramework/m/e;,getIconExtraImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,v,()Landroid/graphics/Rect;,getIconImageSrcRect,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,i,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/am;,getUnitShownInUI,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,y,()Lcom/corrodinggames/rts/game/units/as;,getGuiBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/h,a,(Lcom/corrodinggames/rts/game/units/am;)Z,isGuiBlinking,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/i,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,j,()Lcom/corrodinggames/rts/gameFramework/m/e;,getIconImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,v,()Landroid/graphics/Rect;,getIconImageSrcRect,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/j,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,B,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getPrice,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,r_,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getStreamingCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,K,()F,getBuildSpeed,com/corrodinggames/rts/game/units/a/w,True
com/corrodinggames/rts/game/units/a/l,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,g,(Lcom/corrodinggames/rts/game/units/am;)Z,isLocked,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/l,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/m,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/n,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,j,()Lcom/corrodinggames/rts/gameFramework/m/e;,getIconImage,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/o,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,d,()Ljava/lang/String;,getDisplayTextWithCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/p,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/q,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/q,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/r,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/r,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,y,()Lcom/corrodinggames/rts/game/units/as;,getGuiBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,B,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getPrice,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,r_,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getStreamingCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,g,(Lcom/corrodinggames/rts/game/units/am;)Z,isLocked,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,u,()Z,isQueuedAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,p,(Lcom/corrodinggames/rts/game/units/am;)F,getProgress,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,r,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisibleWithExtraCheck,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/v,b,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisible,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/w,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/w,p,(Lcom/corrodinggames/rts/game/units/am;)F,getProgress,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/w,u,()Z,isQueuedAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/w,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/x,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/y,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/y,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/y,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/y,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
