action,old_named_name,old_intermediary_name,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
added,,,field,com/corrodinggames/rts/game/f,Z,V,field_Projectile_areaDamageExpansionComplete,areaDamageExpansionComplete,v0.36-runtime-projectile-damage,runtime-projectile-damage,medium,javap constructor/position init sets V=false; updateAreaDamage loop sets V=true when areaExpandTime reaches zero and final area pass is applied.,Medium confidence: exact flag name chosen from areaExpandTime behavior.
added,,,field,com/corrodinggames/rts/game/f,F,X,field_Projectile_areaExpandTimeOriginal,areaExpandTimeOriginal,v0.36-runtime-projectile-damage,runtime-projectile-damage,medium,javap apply template stores areaExpandTime into W and X; update decrements W while X remains serialized as original/full expansion time.,Medium confidence: original/full expansion time semantics inferred from W/X pair.
added,,,field,com/corrodinggames/rts/game/f,Z,aS,field_Projectile_removalRequested,removalRequested,v0.36-runtime-projectile-damage,runtime-projectile-lifecycle,confirmed,javap Projectile.requestRemoval only sets aS=true; update removes projectile when aS is observed.,
added,,,method,com/corrodinggames/rts/game/f,(Z)V,<init>,method_Projectile_init_boolean,<init>,v0.36-runtime-projectile-damage,runtime-projectile-lifecycle,confirmed,javap Projectile.<init>(Z): initializes projectile defaults and optionally adds to activeProjectiles.,Constructor named namespace must remain <init>.
added,,,method,com/corrodinggames/rts/game/f,()V,c,method_Projectile_loadBuiltInProjectileImages,loadBuiltInProjectileImages,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,"javap Projectile.c() loads R$drawable.projectiles, projectiles2, projectiles_large into static image fields.",
added,,,method,com/corrodinggames/rts/game/f,()V,d,method_Projectile_requestRemoval,requestRemoval,v0.36-runtime-projectile-damage,runtime-projectile-lifecycle,confirmed,javap Projectile.d() only writes removalRequested=true; update later performs actual removal.,
added,,,method,com/corrodinggames/rts/game/f,()Landroid/graphics/Paint;,f,method_Projectile_getDrawPaint,getDrawPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,"javap Projectile.f() returns defaultPaint for default color, mutableColorPaint/tinted paint for non-default projectile color.",
added,,,method,com/corrodinggames/rts/game/f,(I)Lcom/corrodinggames/rts/gameFramework/m/ag;,a,method_Projectile_getTintedDrawPaint,getTintedDrawPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.a(int) creates/caches LightingColorFilter paint for tinted projectile rendering.,
added,,,field,com/corrodinggames/rts/game/units/am,I,bs,field_Unit_lastDamagedFrame,lastDamagedFrame,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,javap Unit.applyDamage writes game frame to bs; Unit.getRecentDamager compares current frame against bs plus seconds window.,
added,,,field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/game/units/am;,bt,field_Unit_lastDamagedBy,lastDamagedBy,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,javap Unit.applyDamage stores source/damager in bt; Unit.getRecentDamager returns bt while damage timestamp is fresh.,
added,,,field,com/corrodinggames/rts/game/units/am,J,bW,field_Unit_deathFrame,deathFrame,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,javap Unit.onKilled writes current game frame/time into bW when setting dead=true.,
added,,,method,com/corrodinggames/rts/game/units/am,(F)Lcom/corrodinggames/rts/game/units/am;,q,method_Unit_getRecentDamager,getRecentDamager,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,javap Unit.q(float) returns lastDamagedBy if current frame/time is within seconds*1000 of lastDamagedFrame.,
added,,,method,com/corrodinggames/rts/game/units/am,()V,ch,method_Unit_checkDeathState,checkDeathState,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,javap Unit.ch() checks !dead && hp<=0 then invokes bv() death pipeline.,
added,,,method,com/corrodinggames/rts/game/units/custom/j,()V,ch,method_CustomUnit_checkDeathState,checkDeathState,v0.36-runtime-projectile-damage,runtime-damage-death,confirmed,"javap CustomUnit.ch() overrides death-state check; custom metadata can suppress zero-HP death, otherwise invokes super.checkDeathState().",
added,,,method,com/corrodinggames/rts/game/units/am,()V,bu,method_Unit_onKilled,onKilled,v0.36-runtime-family-fixes,runtime-damage-death-family,confirmed,"javap Unit.bu() sets dead=true, deathFrame, clears turret targets, removes from team/spatial indexes; CustomUnit already mapped bu() as onKilled.",
added,,,method,com/corrodinggames/rts/game/units/y,()V,bu,method_OrderableUnit_onKilled,onKilled,v0.36-runtime-family-fixes,runtime-damage-death-family,confirmed,OrderableUnit.bu() participates in the same Unit/CustomUnit death override family; named propagated to avoid override-family split.,
added,,,method,com/corrodinggames/rts/game/units/y,(ILcom/corrodinggames/rts/game/units/am;ZZ)Z,a,method_OrderableUnit_canTurretAttackTarget,canTurretAttackTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,"OrderableUnit.a(int,Unit,boolean,boolean) is the parent implementation of CustomUnit.canTurretAttackTarget; family propagated for named-jar consistency.",
added,,,method,com/corrodinggames/rts/game/units/e/d,(ILcom/corrodinggames/rts/game/units/am;ZZ)Z,a,method_LandInternalObf_e_d_canTurretAttackTarget,canTurretAttackTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Vanilla land unit override of OrderableUnit.canTurretAttackTarget; family propagated for named-jar consistency.,
added,,,method,com/corrodinggames/rts/game/units/custom/j,(I)Z,u,method_CustomUnit_isTurretAimedAtTarget,isTurretAimedAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,CustomUnit.u(int) is in the same override family as OrderableUnit.isTurretAimedAtTarget; name propagated to avoid partial named family.,
added,,,method,com/corrodinggames/rts/game/units/d/a/a,(I)Z,u,method_BuildingInternalObf_d_a_a_isTurretAimedAtTarget,isTurretAimedAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Vanilla building/turret override of OrderableUnit.isTurretAimedAtTarget; family propagated for named-jar consistency.,
added,,,class,com/corrodinggames/rts/game/units/d/a/c,,,rw/unit/building/internal/Obf_d_a_c,rustedwarfare/unit/building/internal/Obf_d_a_c,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_c_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/d,,,rw/unit/building/internal/Obf_d_a_d,rustedwarfare/unit/building/internal/Obf_d_a_d,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/d,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_d_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/e,,,rw/unit/building/internal/Obf_d_a_e,rustedwarfare/unit/building/internal/Obf_d_a_e,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_e_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/f,,,rw/unit/building/internal/Obf_d_a_f,rustedwarfare/unit/building/internal/Obf_d_a_f,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/f,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_f_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/g,,,rw/unit/building/internal/Obf_d_a_g,rustedwarfare/unit/building/internal/Obf_d_a_g,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/g,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_g_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/h,,,rw/unit/building/internal/Obf_d_a_h,rustedwarfare/unit/building/internal/Obf_d_a_h,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/h,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_h_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
