kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/b/aa,,,rw/render/gl/TextureVertexBuffer,rustedwarfare/render/gl/TextureVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/aj,,,rw/render/gl/ShapeDrawBatch,rustedwarfare/render/gl/ShapeDrawBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/al,,,rw/render/gl/ShapeVertexBuffer,rustedwarfare/render/gl/ShapeVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a,,,rw/render/gl/GlTextAttribute,rustedwarfare/render/gl/GlTextAttribute,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a/b,,,rw/render/gl/GlTextShaderProgram,rustedwarfare/render/gl/GlTextShaderProgram,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a/a,,,rw/render/gl/GlTextAlphaShaderProgram,rustedwarfare/render/gl/GlTextAlphaShaderProgram,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/d,,,rw/render/gl/GlTextBatch,rustedwarfare/render/gl/GlTextBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/f,,,rw/render/gl/GlTextShaderUtil,rustedwarfare/render/gl/GlTextShaderUtil,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/g,,,rw/render/gl/GlTextVertexBuffer,rustedwarfare/render/gl/GlTextVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
field,com/corrodinggames/rts/gameFramework/b/b,I,i,field_b_lastDrawFrame,lastDrawFrame,v0.58-render-gl-backend,render-gl-backend,low,Public runtime draw marker; left low confidence.,
field,com/corrodinggames/rts/gameFramework/b/b,Lcom/corrodinggames/rts/gameFramework/b/k;,k,field_b_ownerCanvas,ownerCanvas,v0.58-render-gl-backend,render-gl-backend,high,setOwnerCanvas stores GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/b,(Lcom/corrodinggames/rts/gameFramework/b/k;)V,a,method_b_a_setOwnerCanvas,setOwnerCanvas,v0.58-render-gl-backend,render-gl-backend,high,Stores GlCanvas owner.,
method,com/corrodinggames/rts/gameFramework/b/b,(Landroid/graphics/RectF;Landroid/graphics/RectF;)V,a,method_b_a_adjustDrawRectForTextureBounds,adjustDrawRectForTextureBounds,v0.58-render-gl-backend,render-gl-backend,medium-high,Adjusts draw rect when source exceeds texture bounds.,
method,com/corrodinggames/rts/gameFramework/b/ae,(Landroid/graphics/RectF;Landroid/graphics/RectF;)V,a,method_ae_a_adjustDrawRectForTextureBounds,adjustDrawRectForTextureBounds,v0.58-render-gl-backend,render-gl-backend,high,Subtexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ah,(Lcom/corrodinggames/rts/gameFramework/b/k;)V,d,method_ah_d_uploadToCanvas,uploadToCanvas,v0.58-render-gl-backend,render-gl-backend,high,Uploads bitmap through GL canvas.,
method,com/corrodinggames/rts/gameFramework/b/v,(F)V,a,method_v_a_setLineWidth,setLineWidth,v0.58-render-gl-backend,render-gl-backend,high,GLPaint getter/setter evidence.,
method,com/corrodinggames/rts/gameFramework/b/v,()F,b,method_v_b_getLineWidth,getLineWidth,v0.58-render-gl-backend,render-gl-backend,high,GLPaint getter/setter evidence.,
method,com/corrodinggames/rts/gameFramework/b/h,()Ljava/lang/String;,a,method_h_a_getVertexShaderSource,getVertexShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL vertex shader string.,
method,com/corrodinggames/rts/gameFramework/b/h,()Ljava/lang/String;,b,method_h_b_getFragmentShaderSource,getFragmentShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL fragment shader string.,
method,com/corrodinggames/rts/gameFramework/b/a,()Ljava/lang/String;,a,method_a_a_getVertexShaderSource,getVertexShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL vertex shader string.,
method,com/corrodinggames/rts/gameFramework/b/a,()Ljava/lang/String;,b,method_a_b_getFragmentShaderSource,getFragmentShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL fragment shader string.,
method,com/corrodinggames/rts/gameFramework/b/g,()Ljava/lang/String;,a,method_g_a_getVertexShaderSource,getVertexShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL vertex shader string.,
method,com/corrodinggames/rts/gameFramework/b/g,()Ljava/lang/String;,b,method_g_b_getFragmentShaderSource,getFragmentShaderSource,v0.58-render-gl-backend,render-gl-backend,high,Returns GLSL fragment shader string.,
method,com/corrodinggames/rts/gameFramework/b/g,(F)V,a,method_g_a_setLineWidth,setLineWidth,v0.58-render-gl-backend,render-gl-backend,medium-high,Writes lineWidth field.,
field,com/corrodinggames/rts/gameFramework/b/q,I,c,field_q_cachedProgramHandle,cachedProgramHandle,v0.58-render-gl-backend,render-gl-backend,high,Parameter loadHandle uses GL location caches.,
field,com/corrodinggames/rts/gameFramework/b/z,Lcom/corrodinggames/rts/gameFramework/b/o;,a,field_z_positionAttribute,positionAttribute,v0.58-render-gl-backend,render-gl-backend,high,TextureProgramHandles constructor string constants.,
field,com/corrodinggames/rts/gameFramework/b/z,Lcom/corrodinggames/rts/gameFramework/b/o;,b,field_z_textureCoordinateAttribute,textureCoordinateAttribute,v0.58-render-gl-backend,render-gl-backend,high,TextureProgramHandles constructor string constants.,
field,com/corrodinggames/rts/gameFramework/b/z,Lcom/corrodinggames/rts/gameFramework/b/o;,c,field_z_colorAttribute,colorAttribute,v0.58-render-gl-backend,render-gl-backend,high,TextureProgramHandles constructor string constants.,
field,com/corrodinggames/rts/gameFramework/b/z,Lcom/corrodinggames/rts/gameFramework/b/s;,d,field_z_projectionUniform,projectionUniform,v0.58-render-gl-backend,render-gl-backend,high,TextureProgramHandles constructor string constants.,
field,com/corrodinggames/rts/gameFramework/b/z,Lcom/corrodinggames/rts/gameFramework/b/s;,e,field_z_textureUniform,textureUniform,v0.58-render-gl-backend,render-gl-backend,high,TextureProgramHandles constructor string constants.,
field,com/corrodinggames/rts/gameFramework/b/ak,Lcom/corrodinggames/rts/gameFramework/b/o;,a,field_ak_positionAttribute,positionAttribute,v0.58-render-gl-backend,render-gl-backend,medium,ShapeProgramHandles parameter group.,
field,com/corrodinggames/rts/gameFramework/b/ak,Lcom/corrodinggames/rts/gameFramework/b/o;,b,field_ak_colorAttribute,colorAttribute,v0.58-render-gl-backend,render-gl-backend,medium,ShapeProgramHandles parameter group.,
field,com/corrodinggames/rts/gameFramework/b/ak,Lcom/corrodinggames/rts/gameFramework/b/s;,c,field_ak_projectionUniform,projectionUniform,v0.58-render-gl-backend,render-gl-backend,medium,ShapeProgramHandles projection uniform.,
method,com/corrodinggames/rts/gameFramework/b/k,(FFFLcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_k_a_drawCircle,drawCircle,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/k,(FFFFLcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_k_a_drawLine,drawLine,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/k,([FIILcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_k_a_drawLines,drawLines,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/k,()V,e,method_k_e_flushPendingBatches,flushPendingBatches,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/k,()V,f,method_k_f_finishBatches,finishBatches,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,(FFFLcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_n_a_drawCircle,drawCircle,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,(FFFFLcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_n_a_drawLine,drawLine,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,([FIILcom/corrodinggames/rts/gameFramework/b/v;Lcom/corrodinggames/rts/gameFramework/b/h;)V,a,method_n_a_drawLines,drawLines,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,()V,e,method_n_e_flushPendingBatches,flushPendingBatches,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,()V,f,method_n_f_finishBatches,finishBatches,v0.58-render-gl-backend,render-gl-backend,high,GlCanvas interface/implementation selected family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/n,()V,m,method_n_m_beginTextureBatch,beginTextureBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,Activates TextureDrawBatch.,
method,com/corrodinggames/rts/gameFramework/b/n,()V,n,method_n_n_beginShapeBatch,beginShapeBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,Activates ShapeDrawBatch.,
method,com/corrodinggames/rts/gameFramework/b/n,()V,o,method_n_o_flushTextureBatch,flushTextureBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,Flushes texture batch.,
method,com/corrodinggames/rts/gameFramework/b/n,(Lcom/corrodinggames/rts/gameFramework/m/ae;)V,a,method_n_a_setShaderProgram,setShaderProgram,v0.58-render-gl-backend,render-gl-backend,high,Sets active ShaderProgram or clears it.,
method,com/corrodinggames/rts/gameFramework/b/n,(Lcom/corrodinggames/rts/gameFramework/m/ae;)V,b,method_n_b_forceShaderProgram,forceShaderProgram,v0.58-render-gl-backend,render-gl-backend,high,Flushes and binds shader program.,
method,com/corrodinggames/rts/gameFramework/b/n,(Lcom/corrodinggames/rts/gameFramework/m/ae;)V,c,method_n_c_applyShaderParameters,applyShaderParameters,v0.58-render-gl-backend,render-gl-backend,high,Uploads ShaderProgram parameters.,
method,com/corrodinggames/rts/gameFramework/b/n,(Lcom/corrodinggames/rts/gameFramework/m/ae;)Z,d,method_n_d_compileShaderProgram,compileShaderProgram,v0.58-render-gl-backend,render-gl-backend,high,Compiles and links ShaderProgram.,
method,com/corrodinggames/rts/gameFramework/b/n,(I)V,a,method_n_a_useProgram,useProgram,v0.58-render-gl-backend,render-gl-backend,high,Calls GLES20.glUseProgram.,
method,com/corrodinggames/rts/gameFramework/b/aa,()V,a,method_aa_a_enableAttributes,enableAttributes,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
method,com/corrodinggames/rts/gameFramework/b/aa,()V,b,method_aa_b_uploadVertexBuffer,uploadVertexBuffer,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
method,com/corrodinggames/rts/gameFramework/b/aa,()V,e,method_aa_e_disableAttributes,disableAttributes,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
method,com/corrodinggames/rts/gameFramework/b/al,()V,a,method_al_a_enableAttributes,enableAttributes,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
method,com/corrodinggames/rts/gameFramework/b/al,()V,b,method_al_b_uploadVertexBuffer,uploadVertexBuffer,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
method,com/corrodinggames/rts/gameFramework/b/al,()V,e,method_al_e_disableAttributes,disableAttributes,v0.58-render-gl-backend,render-gl-backend,high,Vertex buffer GL operations from javap.,
field,com/corrodinggames/rts/gameFramework/b/f,Lcom/corrodinggames/rts/gameFramework/b/a;,c,field_f_shapeShaderSource,shapeShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer field from javap signatures.,
field,com/corrodinggames/rts/gameFramework/b/f,Lcom/corrodinggames/rts/gameFramework/b/g;,d,field_f_circleShaderSource,circleShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer field from javap signatures.,
method,com/corrodinggames/rts/gameFramework/b/f,()Lcom/corrodinggames/rts/gameFramework/b/k;,b,method_f_b_getCanvas,getCanvas,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer forwards to GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/f,(FFFLcom/corrodinggames/rts/gameFramework/b/v;)V,a,method_f_a_drawCircle,drawCircle,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer forwards to GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/f,(FFFFLcom/corrodinggames/rts/gameFramework/b/v;)V,a,method_f_a_drawLine,drawLine,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer forwards to GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/f,()V,e,method_f_e_finishBatches,finishBatches,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer forwards to GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/f,([FIILcom/corrodinggames/rts/gameFramework/b/v;)V,a,method_f_a_drawLines,drawLines,v0.58-render-gl-backend,render-gl-backend,medium-high,GlRenderer forwards to GlCanvas.,
method,com/corrodinggames/rts/gameFramework/b/a/a,()I,a,method_a_a_getAttributeIndex,getAttributeIndex,v0.58-render-gl-backend,render-gl-backend,high,Returns attributeIndex.,
method,com/corrodinggames/rts/gameFramework/b/a/b,()V,d,method_b_d_beginTextBatch,beginTextBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,GlText javap text/glyph evidence.,
field,com/corrodinggames/rts/gameFramework/b/a/a/b,I,b,field_b_vertexShaderHandle,vertexShaderHandle,v0.58-render-gl-backend,render-gl-backend,high,GlTextShaderProgram compiles/link handles.,
field,com/corrodinggames/rts/gameFramework/b/a/a/b,I,c,field_b_fragmentShaderHandle,fragmentShaderHandle,v0.58-render-gl-backend,render-gl-backend,high,GlTextShaderProgram compiles/link handles.,
method,com/corrodinggames/rts/gameFramework/b/a/a/b,()I,b,method_b_b_getProgramHandle,getProgramHandle,v0.58-render-gl-backend,render-gl-backend,high,GlText shader program methods.,
method,com/corrodinggames/rts/gameFramework/b/a/f,(II[Lcom/corrodinggames/rts/gameFramework/b/a/a;)I,a,method_f_a_createProgram,createProgram,v0.58-render-gl-backend,render-gl-backend,high,Creates/link program and binds attributes.,
method,com/corrodinggames/rts/gameFramework/b/a/f,(ILjava/lang/String;)I,a,method_f_a_loadShader,loadShader,v0.58-render-gl-backend,render-gl-backend,high,Creates/compiles shader.,
