pc_official,android_official,intermediary,named,confidence,source,reason,scope
com/corrodinggames/rts/appFramework/g$8,com/corrodinggames/rts/appFramework/aw,rw/v090/ui/android/InGameActivity$8,rustedwarfare/ui/android/InGameActivity$8,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$9,com/corrodinggames/rts/appFramework/ax,rw/v090/ui/android/InGameActivity$9,rustedwarfare/ui/android/InGameActivity$9,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/h,com/corrodinggames/rts/appFramework/bf,rw/ui/android/InGameActivityTextRunnable,rustedwarfare/ui/android/InGameActivityTextRunnable,high,iterative_app_match,super+interface,android_appframework_port
com/corrodinggames/rts/appFramework/i,com/corrodinggames/rts/appFramework/LevelSelectActivity,rw/ui/android/MapSelectActivity,rustedwarfare/ui/android/MapSelectActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/j,com/corrodinggames/rts/appFramework/LoadLevelActivity,rw/ui/android/SaveGameSelectActivity,rustedwarfare/ui/android/SaveGameSelectActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/k,com/corrodinggames/rts/appFramework/cq,rw/ui/android/SaveGameFileComparator,rustedwarfare/ui/android/SaveGameFileComparator,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/l,com/corrodinggames/rts/appFramework/en,rw/ui/android/MultiTouchReflection,rustedwarfare/ui/android/MultiTouchReflection,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/m,com/corrodinggames/rts/appFramework/ep,rw/ui/android/MultiTouchState,rustedwarfare/ui/android/MultiTouchState,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/n,com/corrodinggames/rts/appFramework/MultiplayerBattleroomActivity,rw/ui/android/MultiplayerBattleroomActivity,rustedwarfare/ui/android/MultiplayerBattleroomActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/n$1,com/corrodinggames/rts/appFramework/et,rw/v090/ui/android/MultiplayerBattleroomActivity$1,rustedwarfare/ui/android/MultiplayerBattleroomActivity$1,high,manual_bytecode_sequence,exact Runnable invoking direct chat-log refresh,android_appframework_port
com/corrodinggames/rts/appFramework/n$2,com/corrodinggames/rts/appFramework/ev,rw/v090/ui/android/MultiplayerBattleroomActivity$2,rustedwarfare/ui/android/MultiplayerBattleroomActivity$2,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/n$3,com/corrodinggames/rts/appFramework/fn,rw/v090/ui/android/MultiplayerBattleroomActivity$3,rustedwarfare/ui/android/MultiplayerBattleroomActivity$3,high,iterative_app_match,super+interface,android_appframework_port
com/corrodinggames/rts/appFramework/n$4,com/corrodinggames/rts/appFramework/fo,rw/v090/ui/android/MultiplayerBattleroomActivity$4,rustedwarfare/ui/android/MultiplayerBattleroomActivity$4,high,iterative_app_match,super+interface,android_appframework_port
com/corrodinggames/rts/appFramework/n$5,com/corrodinggames/rts/appFramework/fp,rw/v090/ui/android/MultiplayerBattleroomActivity$5,rustedwarfare/ui/android/MultiplayerBattleroomActivity$5,high,iterative_app_match,super+interface,android_appframework_port
com/corrodinggames/rts/appFramework/o,com/corrodinggames/rts/appFramework/gc,rw/ui/android/BattleroomSlotInfo,rustedwarfare/ui/android/BattleroomSlotInfo,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/p,com/corrodinggames/rts/appFramework/MultiplayerLobbyActivity,rw/ui/android/MultiplayerPlayerListActivity,rustedwarfare/ui/android/MultiplayerPlayerListActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/p$1,com/corrodinggames/rts/appFramework/gh,rw/v090/ui/android/MultiplayerPlayerListActivity$1,rustedwarfare/ui/android/MultiplayerPlayerListActivity$1,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/q,com/corrodinggames/rts/appFramework/ReplaySelectActivity,rw/ui/android/ReplaySelectActivity,rustedwarfare/ui/android/ReplaySelectActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/r,com/corrodinggames/rts/appFramework/hq,rw/ui/android/ReplayFileComparator,rustedwarfare/ui/android/ReplayFileComparator,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/game/a,com/corrodinggames/rts/game/a,rw/v100/game/GameObject,rustedwarfare/game/GameObject,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/a,com/corrodinggames/rts/game/a/a,rw/ai/AiTeam,rustedwarfare/ai/AiTeam,medium,anchor_bounded_sequence,monotonic package sequence; bounded=false; anchors=5,common_core
com/corrodinggames/rts/game/a/a$1,com/corrodinggames/rts/game/a/b,rw/ai/internal/AiUnitMixSelector_1,rustedwarfare/ai/internal/AiUnitMixSelector_1,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$10,com/corrodinggames/rts/game/a/k,rw/ai/internal/AiUnitMixSelector_10,rustedwarfare/ai/internal/AiUnitMixSelector_10,medium,structural_match,iterative_hungarian: iteration 1; relation signals 1,common_core
com/corrodinggames/rts/game/a/a$11,com/corrodinggames/rts/game/a/l,rw/ai/internal/AiUnitMixSelector_11,rustedwarfare/ai/internal/AiUnitMixSelector_11,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$12,com/corrodinggames/rts/game/a/m,rw/ai/internal/AiUnitMixSelector_12,rustedwarfare/ai/internal/AiUnitMixSelector_12,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$13,com/corrodinggames/rts/game/a/n,rw/ai/internal/AiUnitMixSelector_13,rustedwarfare/ai/internal/AiUnitMixSelector_13,high,structural_match,iterative_hungarian: iteration 1; relation signals 1,common_core
com/corrodinggames/rts/game/a/a$2,com/corrodinggames/rts/game/a/c,rw/ai/internal/AiUnitMixSelector_2,rustedwarfare/ai/internal/AiUnitMixSelector_2,medium,structural_match,iterative_hungarian: iteration 1; relation signals 1,common_core
com/corrodinggames/rts/game/a/a$3,com/corrodinggames/rts/game/a/d,rw/ai/internal/AiUnitMixSelector_3,rustedwarfare/ai/internal/AiUnitMixSelector_3,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$4,com/corrodinggames/rts/game/a/e,rw/ai/internal/AiUnitMixSelector_4,rustedwarfare/ai/internal/AiUnitMixSelector_4,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$5,com/corrodinggames/rts/game/a/f,rw/ai/internal/AiUnitMixSelector_5,rustedwarfare/ai/internal/AiUnitMixSelector_5,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$6,com/corrodinggames/rts/game/a/g,rw/ai/internal/AiUnitMixSelector_6,rustedwarfare/ai/internal/AiUnitMixSelector_6,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$7,com/corrodinggames/rts/game/a/h,rw/ai/internal/AiUnitMixSelector_7,rustedwarfare/ai/internal/AiUnitMixSelector_7,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$8,com/corrodinggames/rts/game/a/i,rw/ai/internal/AiUnitMixSelector_8,rustedwarfare/ai/internal/AiUnitMixSelector_8,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a$9,com/corrodinggames/rts/game/a/j,rw/ai/internal/AiUnitMixSelector_9,rustedwarfare/ai/internal/AiUnitMixSelector_9,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/a/a/a,com/corrodinggames/rts/game/a/a/a,rw/ai/AiObjective,rustedwarfare/ai/AiObjective,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/a/b,com/corrodinggames/rts/game/a/a/b,rw/ai/AiObjectiveType,rustedwarfare/ai/AiObjectiveType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/a/b$1,com/corrodinggames/rts/game/a/a/c,rw/ai/internal/AiObjectiveTypeUnknownFactory,rustedwarfare/ai/internal/AiObjectiveTypeUnknownFactory,high,structural_match,iterative_hungarian: iteration 2; relation signals 2,common_core
com/corrodinggames/rts/game/a/a/b$2,com/corrodinggames/rts/game/a/a/d,rw/ai/internal/AiObjectiveTypeNukingFactory,rustedwarfare/ai/internal/AiObjectiveTypeNukingFactory,high,structural_match,iterative_hungarian: iteration 2; relation signals 2,common_core
com/corrodinggames/rts/game/a/a/c,com/corrodinggames/rts/game/a/a/e,rw/ai/TrackedUnitAiObjective,rustedwarfare/ai/TrackedUnitAiObjective,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/a/d,com/corrodinggames/rts/game/a/a/f,rw/ai/AiNukeObjective,rustedwarfare/ai/AiNukeObjective,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/a/b,com/corrodinggames/rts/game/a/o,rw/ai/AiUnitFilterMode,rustedwarfare/ai/AiUnitFilterMode,high,manual_residual_closure,mapped callers reference target 7 times; enum cardinality 3,common_cross_build_residual
com/corrodinggames/rts/game/a/c,com/corrodinggames/rts/game/a/p,rw/ai/AiBuildCountCache,rustedwarfare/ai/AiBuildCountCache,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/a/d,com/corrodinggames/rts/game/a/q,rw/ai/AiUnitMix,rustedwarfare/ai/AiUnitMix,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/a/e,com/corrodinggames/rts/game/a/r,rw/ai/AiUnitMixEntry,rustedwarfare/ai/AiUnitMixEntry,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/a/f,com/corrodinggames/rts/game/a/s,rw/ai/AiUnitUtils,rustedwarfare/ai/AiUnitUtils,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/g,com/corrodinggames/rts/game/a/t,rw/ai/AiAttackGroup,rustedwarfare/ai/AiAttackGroup,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/h,com/corrodinggames/rts/game/a/u,rw/ai/AiUnitGroup,rustedwarfare/ai/AiUnitGroup,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/i,com/corrodinggames/rts/game/a/v,rw/ai/AiBaseZone,rustedwarfare/ai/AiBaseZone,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/a/j,com/corrodinggames/rts/game/a/w,rw/ai/AiBaseZoneState,rustedwarfare/ai/AiBaseZoneState,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/k,com/corrodinggames/rts/game/a/x,rw/ai/AiBaseZoneRole,rustedwarfare/ai/AiBaseZoneRole,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/l,com/corrodinggames/rts/game/a/y,rw/ai/AiTemporaryUnitGroup,rustedwarfare/ai/AiTemporaryUnitGroup,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/m,com/corrodinggames/rts/game/a/z,rw/ai/AiPlainZone,rustedwarfare/ai/AiPlainZone,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/n,com/corrodinggames/rts/game/a/aa,rw/ai/AiTransporterGroup,rustedwarfare/ai/AiTransporterGroup,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/a/o,com/corrodinggames/rts/game/a/ab,rw/ai/AiZone,rustedwarfare/ai/AiZone,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b,com/corrodinggames/rts/game/b,rw/v100/game/Unit,rustedwarfare/game/Unit,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/a,com/corrodinggames/rts/game/b/a,rw/map/MapObject,rustedwarfare/map/MapObject,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/b,com/corrodinggames/rts/game/b/b,rw/map/MapEngine,rustedwarfare/map/MapEngine,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/b$1,com/corrodinggames/rts/game/b/c,rw/map/MapXmlEmptyEntityResolver1,rustedwarfare/map/MapXmlEmptyEntityResolver1,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/b/b$2,com/corrodinggames/rts/game/b/d,rw/map/MapXmlEmptyEntityResolver2,rustedwarfare/map/MapXmlEmptyEntityResolver2,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/b/c,com/corrodinggames/rts/game/b/e,rw/map/MapTileRenderCache,rustedwarfare/map/MapTileRenderCache,medium,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/b/d,com/corrodinggames/rts/game/b/f,rw/map/MapTileRenderCacheRegion,rustedwarfare/map/MapTileRenderCacheRegion,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/e,com/corrodinggames/rts/game/b/g,rw/map/MapLayer,rustedwarfare/map/MapLayer,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/f,com/corrodinggames/rts/game/b/h,rw/map/MapLoadException,rustedwarfare/map/MapLoadException,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/g,com/corrodinggames/rts/game/b/i,rw/map/MapTile,rustedwarfare/map/MapTile,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/h,com/corrodinggames/rts/game/b/j,rw/map/TileAtlas,rustedwarfare/map/TileAtlas,medium,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=5,common_core
com/corrodinggames/rts/game/b/i,com/corrodinggames/rts/game/b/k,rw/map/MapObjectGroup,rustedwarfare/map/MapObjectGroup,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/j,com/corrodinggames/rts/game/b/l,rw/map/Tileset,rustedwarfare/map/Tileset,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/b/k,com/corrodinggames/rts/game/b/m,rw/map/TilesetImageCacheEntry,rustedwarfare/map/TilesetImageCacheEntry,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/c,com/corrodinggames/rts/game/c,rw/v100/game/AIPlayer,rustedwarfare/game/AIPlayer,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/d,com/corrodinggames/rts/game/d,rw/v100/game/SystemTeam,rustedwarfare/game/SystemTeam,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/e,com/corrodinggames/rts/game/e,rw/v100/game/GameTeam,rustedwarfare/game/GameTeam,medium,structural_match,exact_salvage: same owner and mutual-best,common_core
com/corrodinggames/rts/game/f,com/corrodinggames/rts/game/f,rustedwarfare/game/Projectile,rustedwarfare/game/Projectile,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/g,com/corrodinggames/rts/game/g,rustedwarfare/game/BaseProjectileTemplate,rustedwarfare/game/BaseProjectileTemplate,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/h,com/corrodinggames/rts/game/h,rw/game/ProjectileDamageModifier,rustedwarfare/game/ProjectileDamageModifier,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/i,com/corrodinggames/rts/game/i,rw/core/RustedWarfareGameEngine,rustedwarfare/core/RustedWarfareGameEngine,high,structural_match,critical_anchor: RustedWarfareGameEngine inheritance/content anchor,common_core
com/corrodinggames/rts/game/i$a,com/corrodinggames/rts/game/k,rw/v100rc1/core/RustedWarfareGameEngine$NextLevelThread,rustedwarfare/core/RustedWarfareGameEngine$NextLevelThread,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/j,com/corrodinggames/rts/game/l,rw/v100rc1/render/PostProcessingRenderTarget,rustedwarfare/render/PostProcessingRenderTarget,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/k,com/corrodinggames/rts/game/m,rw/v100rc1/game/FrameCaptureSaveTask,rustedwarfare/game/FrameCaptureSaveTask,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/l,com/corrodinggames/rts/game/n,rw/v100rc1/render/ScorchMark,rustedwarfare/render/ScorchMark,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/m,com/corrodinggames/rts/game/o,rw/v100rc1/render/ScorchMarkType,rustedwarfare/render/ScorchMarkType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/n,com/corrodinggames/rts/game/p,rw/game/Team,rustedwarfare/game/Team,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/o,com/corrodinggames/rts/game/q,rw/game/TeamColoringMode,rustedwarfare/game/TeamColoringMode,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/p,com/corrodinggames/rts/game/r,rw/game/UnitTagStats,rustedwarfare/game/UnitTagStats,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/q,com/corrodinggames/rts/game/s,rw/game/TeamRelation,rustedwarfare/game/TeamRelation,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/r,com/corrodinggames/rts/game/t,rw/v100rc1/team/UnitTypeCount,rustedwarfare/team/UnitTypeCount,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/s,com/corrodinggames/rts/game/u,rw/game/TeamStats,rustedwarfare/game/TeamStats,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/t,com/corrodinggames/rts/game/v,rw/game/UnitTagStatsList,rustedwarfare/game/UnitTagStatsList,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/u,com/corrodinggames/rts/game/w,rw/v100/game/WaveTeam,rustedwarfare/game/WaveTeam,high,anchor_bounded_sequence,monotonic package sequence; bounded=false; anchors=15,common_core
com/corrodinggames/rts/game/units/a,com/corrodinggames/rts/game/units/a,rw/unit/UnitAttackMode,rustedwarfare/unit/UnitAttackMode,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/a,com/corrodinggames/rts/game/units/a/a,rw/unit/action/ActionAvailabilityFilter,rustedwarfare/unit/action/ActionAvailabilityFilter,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/b,com/corrodinggames/rts/game/units/a/b,rw/unit/action/UnitActionFilter,rustedwarfare/unit/action/UnitActionFilter,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/c,com/corrodinggames/rts/game/units/a/c,rustedwarfare/unit/action/UnitActionId,rustedwarfare/unit/action/UnitActionId,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/d,com/corrodinggames/rts/game/units/a/d,rw/unit/action/AttackModeAction,rustedwarfare/unit/action/AttackModeAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/e,com/corrodinggames/rts/game/units/a/e,rw/unit/action/AttackMoveAction,rustedwarfare/unit/action/AttackMoveAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/f,com/corrodinggames/rts/game/units/a/f,rw/unit/action/GuardUnitAction,rustedwarfare/unit/action/GuardUnitAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/g,com/corrodinggames/rts/game/units/a/g,rw/unit/action/UnitSpecificActionProxy,rustedwarfare/unit/action/UnitSpecificActionProxy,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/h,com/corrodinggames/rts/game/units/a/h,rw/unit/action/FilteredUnitAction,rustedwarfare/unit/action/FilteredUnitAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/i,com/corrodinggames/rts/game/units/a/i,rw/unit/action/PatrolAction,rustedwarfare/unit/action/PatrolAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/j,com/corrodinggames/rts/game/units/a/j,rw/unit/action/PingMapAction,rustedwarfare/unit/action/PingMapAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/a/k,com/corrodinggames/rts/game/units/a/k,rw/unit/action/MapPingType,rustedwarfare/unit/action/MapPingType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
