kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change_type,previous_named
method,com/corrodinggames/rts/game/units/d/r,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_r_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/e/b,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_b_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/g,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_g_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/h,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_h_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/h/b,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_b_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_y_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;)Z,l,method_y_canReclaimUnitTarget,canReclaimUnitTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Reclaim-unit order validation family; CustomUnit checks canReclaimUnitsOnlyWithTags and base validation.,Selected family mapped together.,added,
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;)Z,l,method_j_canReclaimUnitTarget,canReclaimUnitTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Reclaim-unit order validation family; CustomUnit checks canReclaimUnitsOnlyWithTags and base validation.,Selected family mapped together.,added,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/d/b;,cM,method_am_getBaseReclaimPrice,getBaseReclaimPrice,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit.cM() calls unit type d(int techLevel) to get base reclaim resources; updateRepairReclaimOrder uses it for finished target resource reclaim.,Base reclaim resource amount before CustomUnit override.,added,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/d/b;,cN,method_am_getReclaimPriceOverride,getReclaimPriceOverride,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit base returns null; CustomUnit returns metadata.reclaimPrice; updateRepairReclaimOrder overrides cM() when non-null.,Optional per-unit/custom-unit reclaim price override.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/d/b;,cN,method_j_getReclaimPriceOverride,getReclaimPriceOverride,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit base returns null; CustomUnit returns metadata.reclaimPrice; updateRepairReclaimOrder overrides cM() when non-null.,Optional per-unit/custom-unit reclaim price override.,added,
method,com/corrodinggames/rts/game/units/am,(F)V,r,method_am_setConstructionProgress,setConstructionProgress,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Writes Unit.cm with team index notification when crossing completed/uncompleted state; updateRepairReclaimOrder calls it after build progress changes.,Sets construction progress; 1.0 means fully built.,added,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/h;,cR,method_am_getSimilarResourcesHaveTag,getSimilarResourcesHaveTag,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit base returns null; CustomUnit returns metadata.similarResourcesHaveTag; updateRepairReclaimOrder passes value to nearest resource search.,Tag group used to continue resource reclaim chains.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/h;,cR,method_j_getSimilarResourcesHaveTag,getSimilarResourcesHaveTag,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit base returns null; CustomUnit returns metadata.similarResourcesHaveTag; updateRepairReclaimOrder passes value to nearest resource search.,Tag group used to continue resource reclaim chains.,added,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/h;,de,method_am_getRuntimeTags,getRuntimeTags,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Unit base returns null; CustomUnit returns runtimeTags; repair/reclaim target filters compare required tags against target.de().,Runtime tag accessor used by target filters.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/h;,de,method_CustomUnit_getRuntimeTags,getRuntimeTags,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnit.de() returns runtimeTags field ed; target filters use this accessor.,Existing mapping confirmed by repair/reclaim tag filters.,updated,getRuntimeTags
field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/game/units/custom/d/b;,dJ,field_am_activeResourceDelta,activeResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,medium-high,Unit.dq() returns dJ; OrderableUnit.bC() recomputes dJ from BuildQueue current resource drain plus repair/reclaim resource delta.,Current per-tick/streaming resource delta advertised to team/resource UI; sign depends on cost/refund path.,added,
method,com/corrodinggames/rts/game/units/am,()V,bC,method_am_refreshActiveResourceDelta,refreshActiveResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,medium-high,Unit base no-op; OrderableUnit implementation recomputes activeResourceDelta and notifies team index on changes.,Family-safe name for per-unit active resource delta refresh.,added,
method,com/corrodinggames/rts/game/units/y,()V,bC,method_y_refreshActiveResourceDelta,refreshActiveResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,medium-high,Unit base no-op; OrderableUnit implementation recomputes activeResourceDelta and notifies team index on changes.,Family-safe name for per-unit active resource delta refresh.,added,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/d/b;,dq,method_am_getActiveResourceDelta,getActiveResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,medium-high,Returns Unit.dJ; dJ is refreshed by bC().,Accessor for currently active streaming resource cost/refund.,added,
method,com/corrodinggames/rts/game/units/y,()Lcom/corrodinggames/rts/game/units/custom/d/b;,bD,method_y_getBuildQueueResourceDelta,getBuildQueueResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,ProductionBuildingUnitBase/CustomUnit implementations delegate to BuildQueue.c(); OrderableUnit.bC() combines this with repair/reclaim delta.,Build queue contribution to active resource delta.,added,
method,com/corrodinggames/rts/game/units/d/i,()Lcom/corrodinggames/rts/game/units/custom/d/b;,bD,method_i_getBuildQueueResourceDelta,getBuildQueueResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,ProductionBuildingUnitBase/CustomUnit implementations delegate to BuildQueue.c(); OrderableUnit.bC() combines this with repair/reclaim delta.,Build queue contribution to active resource delta.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/d/b;,bD,method_j_getBuildQueueResourceDelta,getBuildQueueResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,ProductionBuildingUnitBase/CustomUnit implementations delegate to BuildQueue.c(); OrderableUnit.bC() combines this with repair/reclaim delta.,Build queue contribution to active resource delta.,added,
method,com/corrodinggames/rts/game/units/y,()Lcom/corrodinggames/rts/game/units/custom/d/b;,bE,method_y_getRepairReclaimResourceDelta,getRepairReclaimResourceDelta,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,"Computes streaming cost/refund from active repair/reclaim order, target construction progress, getBuildPriceForTarget, getUnbuildSpeedForTarget and reclaim prices.",Repair/reclaim contribution to active resource delta.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/y;FFFLcom/corrodinggames/rts/game/units/custom/h;)Lcom/corrodinggames/rts/game/units/am;,a,method_y_findNearestReclaimResourceTarget,findNearestReclaimResourceTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Static helper configures NearestUnitSearchCallback with requiredTags/range and returns bestUnit; updateRepairReclaimOrder uses it to chain to a nearby similar resource target.,Resource reclaim target chaining helper.,added,
method,com/corrodinggames/rts/game/units/d/k,()Lcom/corrodinggames/rts/game/units/custom/d/b;,c,method_BuildQueue_getCurrentStreamingResourceCost,getCurrentStreamingResourceCost,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,medium-high,ProductionBuildingUnitBase.bD()/CustomUnit.bD() delegate BuildQueue.c() into active resource delta refresh.,Current build queue resource delta / streaming cost contribution.,updated,getCurrentStreamingResourceCost
