source_branch,merge_decision,reason,kind,owner_official,descriptor,official_name,base_intermediary_name,branch_intermediary_name,base_named_name,branch_named_name,base_source,branch_source,kept_named_name
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;ZZ)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_getOrCreateResourceType,method_a_a_createResourceType,getOrCreateResourceType,createResourceType,v0.43-runtime-resource-economy,v0.10-resource-economy,getOrCreateResourceType
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,a,method_f_copyFrom,method_f_a_addAll,copyFrom,addAll,v0.43-runtime-resource-economy,v0.10-resource-economy,copyFrom
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,b,method_f_addAll,method_f_b_subtractSet,addAll,subtractSet,v0.43-runtime-resource-economy,v0.10-resource-economy,addAll
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,c,method_f_addAmountRaw,method_f_c_subtractAmount,addAmountRaw,subtractAmount,v0.43-runtime-resource-economy,v0.10-resource-economy,addAmountRaw
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,c,method_f_subtractAll,method_f_c_copyFrom,subtractAll,copyFrom,v0.43-runtime-resource-economy,v0.10-resource-economy,subtractAll
visibility-fog-v0.45,skipped_protected_resource_economy_rollback,kept v0.43/v0.44 resource-economy semantic correction,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,d,method_f_subtractAmount,method_f_d_removeOrAddNegativeAmount,subtractAmount,removeOrAddNegativeAmount,v0.43-runtime-resource-economy,v0.10-resource-economy,subtractAmount
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,field,com/corrodinggames/rts/game/n,Lcom/corrodinggames/rts/game/units/custom/h;,ak,field_n_teamTags,field_n_ak_teamTags,teamTags,teamTags,v0.43-runtime-resource-economy,v0.43,teamTags
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,field,com/corrodinggames/rts/game/n,Lcom/corrodinggames/rts/game/units/custom/e/f;,al,field_n_globalResources,field_n_al_globalResources,globalResources,globalResources,v0.43-runtime-resource-economy,v0.43,globalResources
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,field,com/corrodinggames/rts/game/n,Lcom/corrodinggames/rts/game/units/custom/e/c;,am,field_n_resourceShortageCollector,field_n_am_resourceShortageCollector,resourceShortageCollector,resourceShortageCollector,v0.43-runtime-resource-economy,v0.43,resourceShortageCollector
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,method,com/corrodinggames/rts/game/n,(Lcom/corrodinggames/rts/game/units/custom/h;)V,a,method_n_setTeamTags,method_n_a_setTeamTags,setTeamTags,setTeamTags,v0.43-runtime-resource-economy,v0.43,setTeamTags
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,method,com/corrodinggames/rts/game/n,()Lcom/corrodinggames/rts/game/units/custom/h;,U,method_n_getTeamTags,method_n_U_getTeamTags,getTeamTags,getTeamTags,v0.43-runtime-resource-economy,v0.43,getTeamTags
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,method,com/corrodinggames/rts/game/n,(Lcom/corrodinggames/rts/game/units/custom/h;)V,b,method_n_addTeamTags,method_n_b_addTeamTags,addTeamTags,addTeamTags,v0.43-runtime-resource-economy,v0.43,addTeamTags
visibility-fog-v0.45,skipped_metadata_or_rollback,branch update not selected; keep v0.44 merged baseline,method,com/corrodinggames/rts/game/n,(Lcom/corrodinggames/rts/game/units/custom/h;)V,c,method_n_removeTeamTags,method_n_c_removeTeamTags,removeTeamTags,removeTeamTags,v0.43-runtime-resource-economy,v0.43,removeTeamTags
