domain,ini_key,owner_official,field_official,descriptor,field_named,mapping_source,evidence
projectile_,shouldRevealFog,com/corrodinggames/rts/game/units/custom/bh,q,Z,shouldRevealFog,v0.9-base,javap bh.javap.txt line 221: key string within 22 lines before putfield
projectile_,alwaysVisibleInFog,com/corrodinggames/rts/game/units/custom/bh,r,Z,alwaysVisibleInFog,v0.9-base,javap bh.javap.txt line 231: key string within 22 lines before putfield
projectile_,life,com/corrodinggames/rts/game/units/custom/bh,v,F,life,v0.9-base,javap bh.javap.txt line 238: key string within 22 lines before putfield
projectile_,delayedStartTimer,com/corrodinggames/rts/game/units/custom/bh,u,F,delayedStartTimer,v0.9-base,javap bh.javap.txt line 247: key string within 22 lines before putfield
projectile_,speed,com/corrodinggames/rts/game/units/custom/bh,w,F,speed,v0.9-base,javap bh.javap.txt line 257: key string within 22 lines before putfield
projectile_,frame,com/corrodinggames/rts/game/units/custom/bh,x,S,frame,v0.9-base,javap bh.javap.txt line 267: key string within 22 lines before putfield
projectile_,drawType,com/corrodinggames/rts/game/units/custom/bh,y,S,drawType,v0.9-base,javap bh.javap.txt line 277: key string within 22 lines before putfield
projectile_,shadowFrame,com/corrodinggames/rts/game/units/custom/bh,z,S,shadowFrame,v0.9-base,javap bh.javap.txt line 287: key string within 22 lines before putfield
projectile_,image,com/corrodinggames/rts/game/units/custom/bh,B,Lcom/corrodinggames/rts/gameFramework/m/e;,,,javap bh.javap.txt line 298: key string within 22 lines before putfield
projectile_,shadowImage,com/corrodinggames/rts/game/units/custom/bh,C,Lcom/corrodinggames/rts/gameFramework/m/e;,,,javap bh.javap.txt line 309: key string within 22 lines before putfield
projectile_,beamImageOffsetRate,com/corrodinggames/rts/game/units/custom/bh,ad,F,beamImageOffsetRate,v0.9-base,javap bh.javap.txt line 319: key string within 22 lines before putfield
projectile_,beamImage,com/corrodinggames/rts/game/units/custom/bh,Y,Lcom/corrodinggames/rts/gameFramework/m/e;,,,javap bh.javap.txt line 330: key string within 22 lines before putfield
projectile_,beamImage,com/corrodinggames/rts/game/units/custom/bh,X,Z,,,javap bh.javap.txt line 333: key string within 22 lines before putfield
projectile_,beamImageStart,com/corrodinggames/rts/game/units/custom/bh,Z,Lcom/corrodinggames/rts/gameFramework/m/e;,,,javap bh.javap.txt line 355: key string within 22 lines before putfield
projectile_,beamImageStartRotated,com/corrodinggames/rts/game/units/custom/bh,aa,Z,beamImageStartRotated,v0.9-base,javap bh.javap.txt line 371: key string within 22 lines before putfield
projectile_,beamImageEnd,com/corrodinggames/rts/game/units/custom/bh,ab,Lcom/corrodinggames/rts/gameFramework/m/e;,,,javap bh.javap.txt line 382: key string within 22 lines before putfield
projectile_,beamImageEndRotated,com/corrodinggames/rts/game/units/custom/bh,ac,Z,beamImageEndRotated,v0.9-base,javap bh.javap.txt line 398: key string within 22 lines before putfield
projectile_,invisible,com/corrodinggames/rts/game/units/custom/bh,A,Z,invisible,v0.9-base,javap bh.javap.txt line 408: key string within 22 lines before putfield
projectile_,initialUnguidedSpeedHeight,com/corrodinggames/rts/game/units/custom/bh,D,F,initialUnguidedSpeedHeight,v0.9-base,javap bh.javap.txt line 418: key string within 22 lines before putfield
projectile_,initialUnguidedSpeedX,com/corrodinggames/rts/game/units/custom/bh,E,F,initialUnguidedSpeedX,v0.9-base,javap bh.javap.txt line 428: key string within 22 lines before putfield
projectile_,initialUnguidedSpeedY,com/corrodinggames/rts/game/units/custom/bh,F,F,initialUnguidedSpeedY,v0.9-base,javap bh.javap.txt line 438: key string within 22 lines before putfield
projectile_,gravity,com/corrodinggames/rts/game/units/custom/bh,G,F,gravity,v0.9-base,javap bh.javap.txt line 448: key string within 22 lines before putfield
projectile_,trueGravity,com/corrodinggames/rts/game/units/custom/bh,H,F,trueGravity,v0.9-base,javap bh.javap.txt line 458: key string within 22 lines before putfield
projectile_,instant,com/corrodinggames/rts/game/units/custom/bh,I,Z,instant,v0.9-base,javap bh.javap.txt line 468: key string within 22 lines before putfield
projectile_,instantReuseLast,com/corrodinggames/rts/game/units/custom/bh,L,Z,instantReuseLast,v0.9-base,javap bh.javap.txt line 478: key string within 22 lines before putfield
projectile_,instantReuseLast_alsoChangeTurretAim,com/corrodinggames/rts/game/units/custom/bh,M,Z,instantReuseLastAlsoChangeTurretAim,v0.9-base,javap bh.javap.txt line 488: key string within 22 lines before putfield
projectile_,instantReuseLast_keepAreaDamageList,com/corrodinggames/rts/game/units/custom/bh,N,Z,instantReuseLastKeepAreaDamageList,v0.9-base,javap bh.javap.txt line 521: key string within 22 lines before putfield
projectile_,moveWithParent,com/corrodinggames/rts/game/units/custom/bh,T,Z,moveWithParent,v0.9-base,javap bh.javap.txt line 531: key string within 22 lines before putfield
projectile_,disableLeadTargeting,com/corrodinggames/rts/game/units/custom/bh,J,Z,disableLeadTargeting,v0.9-base,javap bh.javap.txt line 541: key string within 22 lines before putfield
projectile_,leadTargetingSpeedCalculation,com/corrodinggames/rts/game/units/custom/bh,K,F,leadTargetingSpeedCalculation,v0.9-base,javap bh.javap.txt line 551: key string within 22 lines before putfield
projectile_,ballistic,com/corrodinggames/rts/game/units/custom/bh,ae,Z,ballistic,v0.9-base,javap bh.javap.txt line 561: key string within 22 lines before putfield
projectile_,trailEffect,com/corrodinggames/rts/game/units/custom/bh,af,Z,,,javap bh.javap.txt line 576: key string within 22 lines before putfield
projectile_,effectOnCreate,com/corrodinggames/rts/game/units/custom/bh,ai,Lcom/corrodinggames/rts/game/units/custom/z;,effectOnCreate,v0.9-base,javap bh.javap.txt line 608: key string within 22 lines before putfield
projectile_,trailEffectRate,com/corrodinggames/rts/game/units/custom/bh,ag,F,trailEffectRate,v0.9-base,javap bh.javap.txt line 618: key string within 22 lines before putfield
projectile_,trailEffectRate,com/corrodinggames/rts/game/units/custom/bh,ao,I,lightColor,v0.9-base,javap bh.javap.txt line 624: key string within 22 lines before putfield
projectile_,wobbleAmplitude,com/corrodinggames/rts/game/units/custom/bh,am,F,wobbleAmplitude,v0.9-base,javap bh.javap.txt line 634: key string within 22 lines before putfield
projectile_,wobbleFrequency,com/corrodinggames/rts/game/units/custom/bh,an,F,wobbleFrequency,v0.9-base,javap bh.javap.txt line 644: key string within 22 lines before putfield
projectile_,spawnProjectilesOnEndOfLife,com/corrodinggames/rts/game/units/custom/bh,ak,Lcom/corrodinggames/rts/game/units/custom/bi;,,,javap bh.javap.txt line 662: key string within 22 lines before putfield
projectile_,spawnProjectilesOnExplode,com/corrodinggames/rts/game/units/custom/bh,aj,Lcom/corrodinggames/rts/game/units/custom/bi;,,,javap bh.javap.txt line 670: key string within 22 lines before putfield
projectile_,spawnProjectilesOnCreate,com/corrodinggames/rts/game/units/custom/bh,al,Lcom/corrodinggames/rts/game/units/custom/bi;,,,javap bh.javap.txt line 678: key string within 22 lines before putfield
projectile_,lightColor,com/corrodinggames/rts/game/units/custom/bh,ao,I,lightColor,v0.9-base,javap bh.javap.txt line 688: key string within 22 lines before putfield
projectile_,lightSize,com/corrodinggames/rts/game/units/custom/bh,ap,F,lightSize,v0.9-base,javap bh.javap.txt line 698: key string within 22 lines before putfield
projectile_,lightCastOnGround,com/corrodinggames/rts/game/units/custom/bh,aq,Z,lightCastOnGround,v0.9-base,javap bh.javap.txt line 708: key string within 22 lines before putfield
projectile_,largeHitEffect,com/corrodinggames/rts/game/units/custom/bh,ar,Z,largeHitEffect,v0.9-base,javap bh.javap.txt line 718: key string within 22 lines before putfield
projectile_,turnSpeed,com/corrodinggames/rts/game/units/custom/bh,O,F,turnSpeed,v0.9-base,javap bh.javap.txt line 728: key string within 22 lines before putfield
projectile_,turnSpeedWhenNear,com/corrodinggames/rts/game/units/custom/bh,P,F,turnSpeedWhenNear,v0.9-base,javap bh.javap.txt line 738: key string within 22 lines before putfield
projectile_,sweepSpeed,com/corrodinggames/rts/game/units/custom/bh,Q,F,sweepSpeed,v0.9-base,javap bh.javap.txt line 748: key string within 22 lines before putfield
projectile_,sweepOffset,com/corrodinggames/rts/game/units/custom/bh,R,F,sweepOffset,v0.9-base,javap bh.javap.txt line 758: key string within 22 lines before putfield
projectile_,sweepOffsetFromTargetRadius,com/corrodinggames/rts/game/units/custom/bh,S,F,sweepOffsetFromTargetRadius,v0.9-base,javap bh.javap.txt line 768: key string within 22 lines before putfield
projectile_,drawUnderUnits,com/corrodinggames/rts/game/units/custom/bh,U,Z,drawUnderUnits,v0.9-base,javap bh.javap.txt line 778: key string within 22 lines before putfield
projectile_,lightingEffect,com/corrodinggames/rts/game/units/custom/bh,V,Z,lightingEffect,v0.9-base,javap bh.javap.txt line 788: key string within 22 lines before putfield
projectile_,laserEffect,com/corrodinggames/rts/game/units/custom/bh,W,Z,laserEffect,v0.9-base,javap bh.javap.txt line 798: key string within 22 lines before putfield
projectile_,laserEffect,com/corrodinggames/rts/game/units/custom/bh,aE,I,color,v0.9-base,javap bh.javap.txt line 811: key string within 22 lines before putfield
projectile_,ballistic_delaymove_height,com/corrodinggames/rts/game/units/custom/bh,as,F,ballisticDelaymoveHeight,v0.9-base,javap bh.javap.txt line 843: key string within 22 lines before putfield
projectile_,ballistic_height,com/corrodinggames/rts/game/units/custom/bh,at,F,ballisticHeight,v0.9-base,javap bh.javap.txt line 853: key string within 22 lines before putfield
projectile_,targetSpeed,com/corrodinggames/rts/game/units/custom/bh,au,F,targetSpeed,v0.9-base,javap bh.javap.txt line 863: key string within 22 lines before putfield
projectile_,targetSpeedAcceleration,com/corrodinggames/rts/game/units/custom/bh,av,F,targetSpeedAcceleration,v0.9-base,javap bh.javap.txt line 873: key string within 22 lines before putfield
projectile_,autoTargetingOnDeadTarget,com/corrodinggames/rts/game/units/custom/bh,aw,Z,autoTargetingOnDeadTarget,v0.9-base,javap bh.javap.txt line 883: key string within 22 lines before putfield
projectile_,autoTargetingOnDeadTargetRange,com/corrodinggames/rts/game/units/custom/bh,ax,F,autoTargetingOnDeadTargetRange,v0.9-base,javap bh.javap.txt line 893: key string within 22 lines before putfield
projectile_,autoTargetingOnDeadTargetLead,com/corrodinggames/rts/game/units/custom/bh,ay,F,autoTargetingOnDeadTargetLead,v0.9-base,javap bh.javap.txt line 903: key string within 22 lines before putfield
projectile_,retargetingInFlight,com/corrodinggames/rts/game/units/custom/bh,az,Z,retargetingInFlight,v0.9-base,javap bh.javap.txt line 913: key string within 22 lines before putfield
projectile_,retargetingInFlightSearchDelay,com/corrodinggames/rts/game/units/custom/bh,aA,F,retargetingInFlightSearchDelay,v0.9-base,javap bh.javap.txt line 923: key string within 22 lines before putfield
projectile_,retargetingInFlightSearchRange,com/corrodinggames/rts/game/units/custom/bh,aB,F,retargetingInFlightSearchRange,v0.9-base,javap bh.javap.txt line 933: key string within 22 lines before putfield
projectile_,retargetingInFlightSearchLead,com/corrodinggames/rts/game/units/custom/bh,aC,F,retargetingInFlightSearchLead,v0.9-base,javap bh.javap.txt line 943: key string within 22 lines before putfield
projectile_,retargetingInFlightSearchOnlyTags,com/corrodinggames/rts/game/units/custom/bh,aD,Lcom/corrodinggames/rts/game/units/custom/h;,retargetingInFlightSearchOnlyTags,v0.9-base,javap bh.javap.txt line 951: key string within 22 lines before putfield
projectile_,color,com/corrodinggames/rts/game/units/custom/bh,aE,I,color,v0.9-base,javap bh.javap.txt line 981: key string within 22 lines before putfield
projectile_,teamColorRatio,com/corrodinggames/rts/game/units/custom/bh,aG,F,teamColorRatio,v0.9-base,javap bh.javap.txt line 991: key string within 22 lines before putfield
projectile_,teamColorRatio_sourceRatio,com/corrodinggames/rts/game/units/custom/bh,aH,F,teamColorRatioSourceRatio,v0.9-base,javap bh.javap.txt line 1026: key string within 22 lines before putfield
projectile_,drawSize,com/corrodinggames/rts/game/units/custom/bh,aF,F,drawSize,v0.9-base,javap bh.javap.txt line 1074: key string within 22 lines before putfield
projectile_,flameWeapon,com/corrodinggames/rts/game/units/custom/bh,aI,Z,flameWeapon,v0.9-base,javap bh.javap.txt line 1084: key string within 22 lines before putfield
projectile_,hitSound,com/corrodinggames/rts/game/units/custom/bh,aJ,Z,hitSound,v0.9-base,javap bh.javap.txt line 1094: key string within 22 lines before putfield
projectile_,targetGroundHeightOffset,com/corrodinggames/rts/game/units/custom/bh,aL,F,targetGroundHeightOffset,v0.9-base,javap bh.javap.txt line 1104: key string within 22 lines before putfield
projectile_,targetGroundSpread,com/corrodinggames/rts/game/units/custom/bh,aK,F,targetGroundSpread,v0.9-base,javap bh.javap.txt line 1114: key string within 22 lines before putfield
projectile_,speedSpread,com/corrodinggames/rts/game/units/custom/bh,aM,F,speedSpread,v0.9-base,javap bh.javap.txt line 1124: key string within 22 lines before putfield
projectile_,explodeOnEndOfLife,com/corrodinggames/rts/game/units/custom/bh,aO,Z,explodeOnEndOfLife,v0.9-base,javap bh.javap.txt line 1134: key string within 22 lines before putfield
projectile_,ignoreParentShootDamageMultiplier,com/corrodinggames/rts/game/units/custom/bh,aN,Z,ignoreParentShootDamageMultiplier,v0.9-base,javap bh.javap.txt line 1144: key string within 22 lines before putfield
projectile_,pushForce,com/corrodinggames/rts/game/units/custom/bh,aP,F,pushForce,v0.9-base,javap bh.javap.txt line 1154: key string within 22 lines before putfield
projectile_,pushVelocity,com/corrodinggames/rts/game/units/custom/bh,aQ,F,pushVelocity,v0.9-base,javap bh.javap.txt line 1164: key string within 22 lines before putfield
projectile_,buildingDamageMultiplier,com/corrodinggames/rts/game/units/custom/bh,aR,F,buildingDamageMultiplier,v0.9-base,javap bh.javap.txt line 1174: key string within 22 lines before putfield
projectile_,shieldDamageMultiplier,com/corrodinggames/rts/game/units/custom/bh,aS,F,shieldDamageMultiplier,v0.9-base,javap bh.javap.txt line 1184: key string within 22 lines before putfield
projectile_,shieldDefectionMultiplier,com/corrodinggames/rts/game/units/custom/bh,aT,F,shieldDefectionMultiplier,v0.9-base,javap bh.javap.txt line 1194: key string within 22 lines before putfield
projectile_,hullDamageMultiplier,com/corrodinggames/rts/game/units/custom/bh,aU,F,hullDamageMultiplier,v0.9-base,javap bh.javap.txt line 1204: key string within 22 lines before putfield
projectile_,armourIgnoreAmount,com/corrodinggames/rts/game/units/custom/bh,aV,F,armourIgnoreAmount,v0.9-base,javap bh.javap.txt line 1214: key string within 22 lines before putfield
projectile_,areaExpandTime,com/corrodinggames/rts/game/units/custom/bh,aW,F,areaExpandTime,v0.9-base,javap bh.javap.txt line 1224: key string within 22 lines before putfield
projectile_,explodeEffect,com/corrodinggames/rts/game/units/custom/bh,aX,Lcom/corrodinggames/rts/game/units/custom/z;,explodeEffect,v0.9-base,javap bh.javap.txt line 1238: key string within 22 lines before putfield
projectile_,explodeEffectOnShield,com/corrodinggames/rts/game/units/custom/bh,aY,Lcom/corrodinggames/rts/game/units/custom/z;,explodeEffectOnShield,v0.9-base,javap bh.javap.txt line 1252: key string within 22 lines before putfield
projectile_,spawnUnit,com/corrodinggames/rts/game/units/custom/bh,aZ,Lcom/corrodinggames/rts/game/units/custom/bp;,,,javap bh.javap.txt line 1266: key string within 22 lines before putfield
projectile_,unloadUpToXUnitsFromSource,com/corrodinggames/rts/game/units/custom/bh,ba,I,unloadUpToXUnitsFromSource,v0.9-base,javap bh.javap.txt line 1276: key string within 22 lines before putfield
projectile_,teleportSource,com/corrodinggames/rts/game/units/custom/bh,bb,Z,teleportSource,v0.9-base,javap bh.javap.txt line 1286: key string within 22 lines before putfield
projectile_,convertHitToSourceTeam,com/corrodinggames/rts/game/units/custom/bh,bc,Z,convertHitToSourceTeam,v0.9-base,javap bh.javap.txt line 1296: key string within 22 lines before putfield
projectile_,tags,com/corrodinggames/rts/game/units/custom/bh,bd,Lcom/corrodinggames/rts/game/units/custom/h;,tags,v0.9-base,javap bh.javap.txt line 1304: key string within 22 lines before putfield
turret_,height,com/corrodinggames/rts/game/units/custom/bn,h,F,height,v0.9-base,javap bn.javap.txt line 774: key string within 22 lines before putfield
turret_,yAxisScaling,com/corrodinggames/rts/game/units/custom/bn,i,F,yAxisScaling,v0.9-base,javap bn.javap.txt line 783: key string within 22 lines before putfield
turret_,linkDelayWithTurret,com/corrodinggames/rts/game/units/custom/bn,ao,Lcom/corrodinggames/rts/game/units/custom/bn;,linkDelayWithTurret,v0.9-base,javap bn.javap.txt line 796: key string within 22 lines before putfield
turret_,delay,com/corrodinggames/rts/game/units/custom/bn,m,F,delay,v0.9-base,javap bn.javap.txt line 830: key string within 22 lines before putfield
turret_,warmup,com/corrodinggames/rts/game/units/custom/bn,n,F,warmup,v0.9-base,javap bn.javap.txt line 851: key string within 22 lines before putfield
turret_,warmupCallDownRate,com/corrodinggames/rts/game/units/custom/bn,o,F,warmupCallDownRate,v0.9-base,javap bn.javap.txt line 863: key string within 22 lines before putfield
turret_,warmupNoReset,com/corrodinggames/rts/game/units/custom/bn,s,Z,warmupNoReset,v0.9-base,javap bn.javap.txt line 875: key string within 22 lines before putfield
turret_,warmupShootDelayTransfer,com/corrodinggames/rts/game/units/custom/bn,t,F,warmupShootDelayTransfer,v0.9-base,javap bn.javap.txt line 887: key string within 22 lines before putfield
turret_,recoilOffset,com/corrodinggames/rts/game/units/custom/bn,p,F,recoilOffset,v0.9-base,javap bn.javap.txt line 897: key string within 22 lines before putfield
turret_,recoilOutTime,com/corrodinggames/rts/game/units/custom/bn,q,F,recoilOutTime,v0.9-base,javap bn.javap.txt line 907: key string within 22 lines before putfield
turret_,recoilReturnTime,com/corrodinggames/rts/game/units/custom/bn,r,F,recoilReturnTime,v0.9-base,javap bn.javap.txt line 917: key string within 22 lines before putfield
turret_,energyUsage,com/corrodinggames/rts/game/units/custom/bn,u,F,energyUsage,v0.9-base,javap bn.javap.txt line 929: key string within 22 lines before putfield
turret_,unloadUpToXUnitsAndGiveAttackOrder,com/corrodinggames/rts/game/units/custom/bn,aI,I,unloadUpToXUnitsAndGiveAttackOrder,v0.9-base,javap bn.javap.txt line 939: key string within 22 lines before putfield
turret_,resourceUsage,com/corrodinggames/rts/game/units/custom/bn,v,Lcom/corrodinggames/rts/game/units/custom/d/b;,resourceUsage,v0.17-java-authoring-contract,javap bn.javap.txt line 954: key string within 22 lines before putfield
turret_,attachedTo,com/corrodinggames/rts/game/units/custom/bn,y,Lcom/corrodinggames/rts/game/units/custom/bn;,attachedTo,v0.9-base,javap bn.javap.txt line 970: key string within 22 lines before putfield
turret_,idleDir,com/corrodinggames/rts/game/units/custom/bn,j,F,idleDir,v0.9-base,javap bn.javap.txt line 1013: key string within 22 lines before putfield
turret_,idleDirReversing,com/corrodinggames/rts/game/units/custom/bn,k,F,idleDirReversing,v0.9-base,javap bn.javap.txt line 1025: key string within 22 lines before putfield
turret_,idleDirReversing,com/corrodinggames/rts/game/units/custom/bn,l,Z,hasIdleDirReversing,v0.29-action-projectile-expansion,javap bn.javap.txt line 1028: key string within 22 lines before putfield
turret_,shoot_sound,com/corrodinggames/rts/game/units/custom/bn,D,Lcom/corrodinggames/rts/game/units/custom/bl;,shootSound,v0.9-base,javap bn.javap.txt line 1099: key string within 22 lines before putfield
turret_,shoot_flame,com/corrodinggames/rts/game/units/custom/bn,E,Lcom/corrodinggames/rts/game/units/custom/z;,shootFlame,v0.9-base,javap bn.javap.txt line 1123: key string within 22 lines before putfield
turret_,shoot_light,com/corrodinggames/rts/game/units/custom/bn,G,Ljava/lang/Integer;,shootLight,v0.9-base,javap bn.javap.txt line 1131: key string within 22 lines before putfield
turret_,warmupStartEffect,com/corrodinggames/rts/game/units/custom/bn,F,Lcom/corrodinggames/rts/game/units/custom/z;,warmupStartEffect,v0.9-base,javap bn.javap.txt line 1142: key string within 22 lines before putfield
turret_,slave,com/corrodinggames/rts/game/units/custom/bn,A,Z,slave,v0.9-base,javap bn.javap.txt line 1152: key string within 22 lines before putfield
turret_,slave,com/corrodinggames/rts/game/units/custom/bn,z,Lcom/corrodinggames/rts/game/units/custom/bn;,slaveAttachedTurret,v0.29-action-projectile-expansion,javap bn.javap.txt line 1167: key string within 22 lines before putfield
turret_,invisible,com/corrodinggames/rts/game/units/custom/bn,C,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,invisible,v0.9-base,javap bn.javap.txt line 1176: key string within 22 lines before putfield
turret_,canAttackFlyingUnits,com/corrodinggames/rts/game/units/custom/bn,J,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackFlyingUnits,v0.9-base,javap bn.javap.txt line 1185: key string within 22 lines before putfield
turret_,canAttackLandUnits,com/corrodinggames/rts/game/units/custom/bn,K,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackLandUnits,v0.9-base,javap bn.javap.txt line 1194: key string within 22 lines before putfield
turret_,canAttackUnderwaterUnits,com/corrodinggames/rts/game/units/custom/bn,L,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackUnderwaterUnits,v0.9-base,javap bn.javap.txt line 1203: key string within 22 lines before putfield
turret_,canAttackNotTouchingWaterUnits,com/corrodinggames/rts/game/units/custom/bn,M,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackNotTouchingWaterUnits,v0.9-base,javap bn.javap.txt line 1212: key string within 22 lines before putfield
turret_,canAttackCondition,com/corrodinggames/rts/game/units/custom/bn,N,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,canAttackCondition,v0.9-base,javap bn.javap.txt line 1221: key string within 22 lines before putfield
turret_,canOnlyAttackUnitsWithTags,com/corrodinggames/rts/game/units/custom/bn,O,Lcom/corrodinggames/rts/game/units/custom/h;,canOnlyAttackUnitsWithTags,v0.9-base,javap bn.javap.txt line 1230: key string within 22 lines before putfield
turret_,canOnlyAttackUnitsWithoutTags,com/corrodinggames/rts/game/units/custom/bn,P,Lcom/corrodinggames/rts/game/units/custom/h;,canOnlyAttackUnitsWithoutTags,v0.9-base,javap bn.javap.txt line 1239: key string within 22 lines before putfield
turret_,altProjectileCondition,com/corrodinggames/rts/game/units/custom/bn,T,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,altProjectileCondition,v0.9-base,javap bn.javap.txt line 1333: key string within 22 lines before putfield
turret_,canAttackMaxAngle,com/corrodinggames/rts/game/units/custom/bn,Q,F,canAttackMaxAngle,v0.9-base,javap bn.javap.txt line 1363: key string within 22 lines before putfield
turret_,turnSpeed,com/corrodinggames/rts/game/units/custom/bn,U,Ljava/lang/Float;,turnSpeed,v0.9-base,javap bn.javap.txt line 1371: key string within 22 lines before putfield
turret_,turnSpeedAcceleration,com/corrodinggames/rts/game/units/custom/bn,V,F,turnSpeedAcceleration,v0.9-base,javap bn.javap.txt line 1381: key string within 22 lines before putfield
turret_,turnSpeedDeceleration,com/corrodinggames/rts/game/units/custom/bn,W,F,turnSpeedDeceleration,v0.9-base,javap bn.javap.txt line 1391: key string within 22 lines before putfield
turret_,barrelX,com/corrodinggames/rts/game/units/custom/bn,Y,F,barrelX,v0.9-base,javap bn.javap.txt line 1443: key string within 22 lines before putfield
turret_,barrelOffsetX_onOddShots,com/corrodinggames/rts/game/units/custom/bn,Z,F,barrelOffsetXOnOddShots,v0.9-base,javap bn.javap.txt line 1453: key string within 22 lines before putfield
turret_,barrelHeight,com/corrodinggames/rts/game/units/custom/bn,aa,F,barrelHeight,v0.9-base,javap bn.javap.txt line 1463: key string within 22 lines before putfield
turret_,limitingRange,com/corrodinggames/rts/game/units/custom/bn,ab,F,limitingRange,v0.9-base,javap bn.javap.txt line 1473: key string within 22 lines before putfield
turret_,limitingAngle,com/corrodinggames/rts/game/units/custom/bn,ai,F,limitingAngle,v0.9-base,javap bn.javap.txt line 1483: key string within 22 lines before putfield
turret_,limitingMinRange,com/corrodinggames/rts/game/units/custom/bn,ag,F,limitingMinRange,v0.9-base,javap bn.javap.txt line 1493: key string within 22 lines before putfield
turret_,aimOffsetSpread,com/corrodinggames/rts/game/units/custom/bn,af,F,aimOffsetSpread,v0.9-base,javap bn.javap.txt line 1503: key string within 22 lines before putfield
turret_,showRangeUIGuide,com/corrodinggames/rts/game/units/custom/bn,ac,Ljava/lang/Boolean;,showRangeUIGuide,v0.9-base,javap bn.javap.txt line 1556: key string within 22 lines before putfield
turret_,laserDefenceEnergyUse,com/corrodinggames/rts/game/units/custom/bn,aj,Ljava/lang/Float;,laserDefenceEnergyUse,v0.9-base,javap bn.javap.txt line 1564: key string within 22 lines before putfield
turret_,interceptProjectiles_withTags,com/corrodinggames/rts/game/units/custom/bn,ak,Lcom/corrodinggames/rts/game/units/custom/h;,interceptProjectilesWithTags,v0.9-base,javap bn.javap.txt line 1583: key string within 22 lines before putfield
turret_,interceptProjectiles_andTargetingGroundUnderDistance,com/corrodinggames/rts/game/units/custom/bn,al,F,interceptProjectilesAndTargetingGroundUnderDistance,v0.9-base,javap bn.javap.txt line 1602: key string within 22 lines before putfield
turret_,interceptProjectiles_andUnderDistance,com/corrodinggames/rts/game/units/custom/bn,am,F,interceptProjectilesAndUnderDistance,v0.9-base,javap bn.javap.txt line 1612: key string within 22 lines before putfield
