kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change,old_named_name
method,com/corrodinggames/rts/game/units/b/a,()Z,e,method_b_a_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/b/b,()Z,e,method_b_b_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/b/c,()Z,e,method_b_c_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/b/d,()Z,e,method_b_d_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/b/e,()Z,e,method_b_e_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/b/f,()Z,e,method_b_f_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/c/a,()Z,e,method_c_a_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Z,e,method_custom_j_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/d/d,()Z,e,method_d_d_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e,()Z,e,method_e_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/a,()Z,e,method_e_a_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/b,()Z,e,method_e_b_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/c,()Z,e,method_e_c_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/d,()Z,e,method_e_d_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/e,()Z,e,method_e_e_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/f,()Z,e,method_e_f_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/g,()Z,e,method_e_g_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/i,()Z,e,method_e_i_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/k,()Z,e,method_e_k_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/l,()Z,e,method_e_l_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/m,()Z,e,method_e_m_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/n,()Z,e,method_e_n_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/e/o,()Z,e,method_e_o_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/g,()Z,e,method_g_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h,()Z,e,method_h_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h/a,()Z,e,method_h_a_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h/b,()Z,e,method_h_b_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h/c,()Z,e,method_h_c_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h/d,()Z,e,method_h_d_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/h/e,()Z,e,method_h_e_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/x,()Z,e,method_x_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/am,()V,bv,method_am_killAndHandleDeathEffects,killAndHandleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.checkDeathState dispatches to bv() when hp <= 0; base calls onKilled, handleDeathEffects, optional removeFromGame, postDeathCleanup.",CustomUnit override first clears queue/building state then delegates to super.,added,
method,com/corrodinggames/rts/game/units/custom/j,()V,bv,method_custom_j_killAndHandleDeathEffects,killAndHandleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.checkDeathState dispatches to bv() when hp <= 0; base calls onKilled, handleDeathEffects, optional removeFromGame, postDeathCleanup.",CustomUnit override first clears queue/building state then delegates to super.,added,
method,com/corrodinggames/rts/game/units/d/i,()V,bv,method_d_i_killAndHandleDeathEffects,killAndHandleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.checkDeathState dispatches to bv() when hp <= 0; base calls onKilled, handleDeathEffects, optional removeFromGame, postDeathCleanup.",CustomUnit override first clears queue/building state then delegates to super.,added,
method,com/corrodinggames/rts/game/units/y,()V,bv,method_y_killAndHandleDeathEffects,killAndHandleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.checkDeathState dispatches to bv() when hp <= 0; base calls onKilled, handleDeathEffects, optional removeFromGame, postDeathCleanup.",CustomUnit override first clears queue/building state then delegates to super.,added,
method,com/corrodinggames/rts/game/units/am,()V,bt,method_am_postDeathCleanup,postDeathCleanup,v0.37-runtime-damage-death-family,runtime-death-family,medium-high,Called at the end of Unit.killAndHandleDeathEffects and killWithoutDeathEffects; OrderableUnit clears formation/target/path state.,Base implementation is no-op.,added,
method,com/corrodinggames/rts/game/units/y,()V,bt,method_y_postDeathCleanup,postDeathCleanup,v0.37-runtime-damage-death-family,runtime-death-family,medium-high,Called at the end of Unit.killAndHandleDeathEffects and killWithoutDeathEffects; OrderableUnit clears formation/target/path state.,Base implementation is no-op.,added,
method,com/corrodinggames/rts/game/units/am,()V,ci,method_am_killWithoutDeathEffects,killWithoutDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Bytecode calls onKilled, removeFromGame, postDeathCleanup without invoking handleDeathEffects.",Used when death effects/wreck handling must be skipped.,added,
method,com/corrodinggames/rts/game/units/am,()V,cj,method_am_forceHpBelowZero,forceHpBelowZero,v0.37-runtime-damage-death-family,runtime-death-family,medium-high,Bytecode sets hp field cu to -1.0f.,Small helper used to force later checkDeathState paths.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/ab;)V,a,method_y_spawnDeathEffect,spawnDeathEffect,v0.37-runtime-damage-death-family,runtime-death-effects,high,"Wrapper calls spawnDeathEffect(UnitDeathEffectType, true).",UnitDeathEffectType values select small/building/large death effects and sounds.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/ab;Z)V,a,method_y_spawnDeathEffect,spawnDeathEffect,v0.37-runtime-damage-death-family,runtime-death-effects,high,"Large switch over UnitDeathEffectType enum; emits sounds, explosion, dust, scorch and debris effects.",Boolean parameter enables extra ground/scorch/debris side effects.,added,
method,com/corrodinggames/rts/game/units/y,()V,bo,method_y_spawnDeathSmokeParticles,spawnDeathSmokeParticles,v0.37-runtime-damage-death-family,runtime-death-effects,high,Loops getDeathSmokeParticleCount() times and spawns smoke particles at unit position/height.,Called by spawnDeathEffect for non-air/non-disabled cases.,added,
method,com/corrodinggames/rts/game/units/custom/j,()I,bp,method_custom_j_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
method,com/corrodinggames/rts/game/units/d/e,()I,bp,method_d_e_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
method,com/corrodinggames/rts/game/units/d/g,()I,bp,method_d_g_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
class,com/corrodinggames/rts/game/units/d/h,,,rw/unit/building/internal/Obf_d_h,rustedwarfare/unit/building/internal/Obf_d_h,v0.37-runtime-damage-death-family-owner-support,owner-support,confirmed,class inventory owner support for newly mapped override method,Generic owner row; exact vanilla unit identity intentionally deferred.,added,
method,com/corrodinggames/rts/game/units/d/h,()I,bp,method_d_h_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
method,com/corrodinggames/rts/game/units/d/q,()I,bp,method_d_q_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
method,com/corrodinggames/rts/game/units/y,()I,bp,method_y_getDeathSmokeParticleCount,getDeathSmokeParticleCount,v0.37-runtime-damage-death-family,runtime-death-effects,high,OrderableUnit.spawnDeathSmokeParticles loops bp() times; CustomUnit returns metadata.numBitsOnDeath; buildings override larger counts.,Name follows existing INI key numBitsOnDeath semantics.,added,
method,com/corrodinggames/rts/game/units/custom/j,()V,bq,method_custom_j_createDeathScorchMark,createDeathScorchMark,v0.37-runtime-damage-death-family,runtime-death-effects,medium-high,Called by spawnDeathEffect after ground explosion paths; CustomUnit suppresses it when metadata disables death scorch.,Exact visual side-effect is map scorch/mark creation at unit world position.,added,
method,com/corrodinggames/rts/game/units/y,()V,bq,method_y_createDeathScorchMark,createDeathScorchMark,v0.37-runtime-damage-death-family,runtime-death-effects,medium-high,Called by spawnDeathEffect after ground explosion paths; CustomUnit suppresses it when metadata disables death scorch.,Exact visual side-effect is map scorch/mark creation at unit world position.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Z,dH,method_custom_j_isProtectedByAttachmentSlot,isProtectedByAttachmentSlot,v0.37-runtime-damage-death-family,runtime-damage-family,medium-high,CustomUnit.isDamageImmune calls dH(); dH checks active AttachmentSlot and !canBeAttackedAndDamaged.,Attachment-slot protection predicate; not a general stealth/visibility check.,added,
