kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change_type
class,com/corrodinggames/rts/game/units/d/a/a,,,rw/unit/building/internal/Obf_d_a_a,rustedwarfare/unit/building/internal/Obf_d_a_a,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/a/a,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_a_a_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/a/b,,,rw/unit/building/internal/Obf_d_a_b,rustedwarfare/unit/building/internal/Obf_d_a_b,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/a/b,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_a_b_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/c,,,rw/unit/building/internal/Obf_d_c,rustedwarfare/unit/building/internal/Obf_d_c,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_c_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/e,,,rw/unit/building/internal/Obf_d_e,rustedwarfare/unit/building/internal/Obf_d_e,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_e_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/g,,,rw/unit/building/internal/Obf_d_g,rustedwarfare/unit/building/internal/Obf_d_g,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/g,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_g_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/i,,,rw/unit/building/internal/Obf_d_i,rustedwarfare/unit/building/internal/Obf_d_i,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/i,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_i_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/p,,,rw/unit/building/internal/Obf_d_p,rustedwarfare/unit/building/internal/Obf_d_p,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/p,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_p_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/q,,,rw/unit/building/internal/Obf_d_q,rustedwarfare/unit/building/internal/Obf_d_q,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/q,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_q_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/d/r,,,rw/unit/building/internal/Obf_d_r,rustedwarfare/unit/building/internal/Obf_d_r,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/d/r,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_d_r_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_CrystalResourceUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/a,,,rw/unit/land/internal/Obf_e_a,rustedwarfare/unit/land/internal/Obf_e_a,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/a,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_a_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/b,,,rw/unit/land/internal/Obf_e_b,rustedwarfare/unit/land/internal/Obf_e_b,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/b,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_b_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/c,,,rw/unit/land/internal/Obf_e_c,rustedwarfare/unit/land/internal/Obf_e_c,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_c_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/d,,,rw/unit/land/internal/Obf_e_d,rustedwarfare/unit/land/internal/Obf_e_d,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/d,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_d_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/e,,,rw/unit/land/internal/Obf_e_e,rustedwarfare/unit/land/internal/Obf_e_e,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_e_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/f,,,rw/unit/land/internal/Obf_e_f,rustedwarfare/unit/land/internal/Obf_e_f,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/f,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_f_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/g,,,rw/unit/land/internal/Obf_e_g,rustedwarfare/unit/land/internal/Obf_e_g,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/g,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_g_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/i,,,rw/unit/land/internal/Obf_e_i,rustedwarfare/unit/land/internal/Obf_e_i,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/i,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_i_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/k,,,rw/unit/land/internal/Obf_e_k,rustedwarfare/unit/land/internal/Obf_e_k,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/k,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_k_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/l,,,rw/unit/land/internal/Obf_e_l,rustedwarfare/unit/land/internal/Obf_e_l,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/l,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_l_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/m,,,rw/unit/land/internal/Obf_e_m,rustedwarfare/unit/land/internal/Obf_e_m,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/m,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_m_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/n,,,rw/unit/land/internal/Obf_e_n,rustedwarfare/unit/land/internal/Obf_e_n,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/n,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_n_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/e/o,,,rw/unit/land/internal/Obf_e_o,rustedwarfare/unit/land/internal/Obf_e_o,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/e/o,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_e_o_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/g,,,rw/unit/land/internal/Obf_g,rustedwarfare/unit/land/internal/Obf_g,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/g,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_g_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/h,,,rw/unit/land/internal/Obf_h,rustedwarfare/unit/land/internal/Obf_h,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/h,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_h_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/h/a,,,rw/unit/water/internal/Obf_h_a,rustedwarfare/unit/water/internal/Obf_h_a,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/h/a,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_h_a_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/h/b,,,rw/unit/water/internal/Obf_h_b,rustedwarfare/unit/water/internal/Obf_h_b,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/h/b,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_h_b_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/h/c,,,rw/unit/water/internal/Obf_h_c,rustedwarfare/unit/water/internal/Obf_h_c,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
