official_row,official_sheet,section_context,context_type,category,version_added,key_raw,key_normalized,key_candidate,value_type,description,example,evidence_status,best_parser_owner_official,best_parser_owner_named,best_parser_domain,best_match,other_hit_count,semantic_confidence,implementation_note,best_method_official,best_method_descriptor,best_method_named
54,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,name:,name,name,string,"Defines the unit raw name, game uses it to identify as a unique name. (This is not displayed in-game)",name: customTank1,matched,com/corrodinggames/rts/game/units/custom/l,rustedwarfare/custom/CustomUnitMetadata,custom-unit-metadata,name,19,medium,,,,
71,1.16,[core],ini_section,Unit Stats Keys,,selfRegenRate:,selfRegenRate,selfRegenRate,float,Passive self repair rate.,selfRegenRate: 0.01,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,selfRegenRate,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
72,1.16,[core],ini_section,Unit Stats Keys,,maxShield:,maxShield,maxShield,int,The max shield hitpoints of the unit. Can start with 0 hitpoints if startShieldAtZero:true.,maxShield: 500,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,maxShield,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
73,1.16,[core],ini_section,Unit Stats Keys,,startShieldAtZero:,startShieldAtZero,startShieldAtZero,bool,Unit starts with a 0 hitpoints shield on created if true.,startShieldAtZero: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,startShieldAtZero,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
74,1.16,[core],ini_section,Unit Stats Keys,,shieldRegen:,shieldRegen,shieldRegen,float,Passive shield regen rate.,shieldRegen: 0.15,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,shieldRegen,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
75,1.16,[core],ini_section,Unit Stats Keys,,energyMax:,energyMax,energyMax,float,"Defaults to 0. Energy that can be used as ammo for turrets, laser defense and actions.",energyMax: 1,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,energyMax,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
76,1.16,[core],ini_section,Unit Stats Keys,,energyRegen:,energyRegen,energyRegen,float,Passive energy regen rate.,energyRegen: 0.001,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,energyRegen,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
77,1.16,[core],ini_section,Unit Stats Keys,,energyStartingPercentage:,energyStartingPercentage,energyStartingPercentage,float,Sets the percentage of charged energy when the unit is first built.,energyStartingPercentage: 0.5,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,energyStartingPercentage,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
78,1.16,[core],ini_section,Unit Stats Keys,,energyNeedsToRechargeToFull:,energyNeedsToRechargeToFull,energyNeedsToRechargeToFull,float,Disables weapons using energy after reaching zero till fully recharged if true.,energyNeedsToRechargeToFull: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,energyNeedsToRechargeToFull,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
79,1.16,[core],ini_section,Unit Stats Keys,,energyRegenWhenRecharging:,energyRegenWhenRecharging,energyRegenWhenRecharging,float,Regen rate while recharging.,,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,energyRegenWhenRecharging,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
80,1.16,[core],ini_section,Unit Stats Keys,1.13,armour:,armour,armour,int,Damage taken away from each hit. (not currently used in any vanilla units),armour: 6,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,armour,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
81,1.16,[core],ini_section,Unit Stats Keys,1.13,armourMinDamageToKeep:,armourMinDamageToKeep,armourMinDamageToKeep,int,Min damage to keep from received damage. Defaults to 1.,armourMinDamageToKeep: 2,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,armourMinDamageToKeep,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
82,1.16,[core],ini_section,Unit Stats Keys,1.13.3,borrowResourcesWhileAlive:,borrowResourcesWhileAlive,borrowResourcesWhileAlive,price,Takes these resources when created and returns them when removed or destroyed.,borrowResourcesWhileAlive: gold=10,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,borrowResourcesWhileAlive,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
83,1.16,[core],ini_section,Unit Stats Keys,1.15,borrowResourcesWhileBuilt:,borrowResourcesWhileBuilt,borrowResourcesWhileBuilt,price,"Like borrowResourcesWhileAlive but doesn't take affect till built. Mostly useful for buildings like houses that have negative resources to add to the unit cap, etc.",borrowResourcesWhileBuilt: supplyCap = -10,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,borrowResourcesWhileBuilt,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
84,1.16,[core],ini_section,Unit Stats Keys,1.13.3,generation_resources:,generation_resources,generation_resources,price,Income unit creates. (custom resource version),"generation_resources: credits=5, gold=20",matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,generation_resources,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
85,1.16,[core],ini_section,Unit Stats Keys,1.13.3,generation_active:,generation_active,generation_active,logicBoolean,Disables generation_resources/credits when false. (logic_boolean),generation_active: if not self.hp(lessThan=100),matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,generation_active,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
86,1.16,[core],ini_section,Unit Stats Keys,,generation_credits:,generation_credits,generation_credits,int,Income unit creates. (credits only),generation_credits: 2,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,generation_credits,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
87,1.16,[core],ini_section,Unit Stats Keys,,generation_delay:,generation_delay,generation_delay,int,How often generation_resources/credits is added. Defaults to 40. (changing not recommended),generation_delay: 40,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,generation_delay,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
89,1.16,[core],ini_section,UI and Graphics Keys,,showInEditor:,showInEditor,showInEditor,bool,Set to false to hide unit in Sandbox editor. (Defaults to true),showInEditor: false,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,showInEditor,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
90,1.16,[core],ini_section,UI and Graphics Keys,,displayText:,displayText,displayText,LocaleString,The unit name that the game shows to the player.,displayText: Custom Tank,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayText,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
91,1.16,[core],ini_section,UI and Graphics Keys,1.13,displayText_{LANG}:,displayText_{LANG},displayText_{LANG},string,LANG = ISO 639-1 Code to show this text instead when game is in this language.,displayText_es: Tanque Personalizado,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayText,5,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
92,1.16,[core],ini_section,UI and Graphics Keys,,displayDescription:,displayDescription,displayDescription,LocaleString,Unit description that the game shows to the player.,displayDescription: -Fast movement\n-Light damage,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayDescription,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
93,1.16,[core],ini_section,UI and Graphics Keys,1.13,displayDescription_{LANG}:,displayDescription_{LANG},displayDescription_{LANG},string,LANG = ISO 639-1 Code to show this text instead when game is in this language.,displayDescription_es: -Movimiento rápido\n-Daño ligero,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayDescription,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
94,1.16,[core],ini_section,UI and Graphics Keys,,displayLocaleKey:,displayLocaleKey,displayLocaleKey,string,Translation file key for unit name and description.,displayLocaleKey: units.mechArtillery,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayLocaleKey,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
95,1.16,[core],ini_section,UI and Graphics Keys,,displayRadius:,displayRadius,displayRadius,int,Defaults to radius value. Set to show a larger or smaller selection circle UI on units.,displayRadius: 20,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,displayRadius,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
96,1.16,[core],ini_section,UI and Graphics Keys,,uiTargetRadius,uiTargetRadius,uiTargetRadius,int,Defaults to displayRadius value. Radius used when attacking/reclaiming/etc this unit,uiTargetRadius: 10,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,uiTargetRadius,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
97,1.16,[core],ini_section,UI and Graphics Keys,,shieldRenderRadius:,shieldRenderRadius,shieldRenderRadius,int,Defaults is a little bigger than radius. Set to show a larger or smaller shield circle on units.,shieldRenderRadius: 12,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,shieldRenderRadius,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
98,1.16,[core],ini_section,UI and Graphics Keys,,shieldDisplayOnlyDeflection:,shieldDisplayOnlyDeflection,shieldDisplayOnlyDeflection,bool,Hide shield unless deflecting shot if true.,shieldDisplayOnlyDeflection: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,shieldDisplayOnlyDeflection,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
99,1.16,[core],ini_section,UI and Graphics Keys,,shieldDeflectionDisplayRate:,shieldDeflectionDisplayRate,shieldDeflectionDisplayRate,float,Defaults to 4. High value causes shield deflection to fade disappear faster.,shieldDeflectionDisplayRate: 3,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,shieldDeflectionDisplayRate,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
100,1.16,[core],ini_section,UI and Graphics Keys,1.13.3,showOnMinimap:,showOnMinimap,showOnMinimap,bool,Defaults to true. Hide units on minimap if false.,showOnMinimap: false,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,showOnMinimap,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
101,1.16,[core],ini_section,UI and Graphics Keys,1.13.3,showActionsWithMixedSelectionIfOtherUnitsHaveTag:,showActionsWithMixedSelectionIfOtherUnitsHaveTag,showActionsWithMixedSelectionIfOtherUnitsHaveTag,string(s),Shows a merged action list if all units selected includes one of these tags. Useful for converted units.,showActionsWithMixedSelectionIfOtherUnitsHaveTag: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,showActionsWithMixedSelectionIfOtherUnitsHaveTag,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
102,1.16,[core],ini_section,UI and Graphics Keys,1.14,showOnMinimapToEnemies,showOnMinimapToEnemies,showOnMinimapToEnemies,bool,Useful for stealth units,showOnMinimapToEnemies: false,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,showOnMinimapToEnemies,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
